상품명,brand,전성분
왓츠 인 마이 아이즈 카페 더블,에뛰드,"[좌] 탤크, 마이카, 티타늄디옥사이드 (CI 77891), 실리카, 헥실라우레이트, 보론나이트라이드, 라우로일라이신, 징크스테아레이트, 다이아이소스테아릴말레이트, 황색산화철, 펜타에리스리틸테트라에틸헥사노에이트, 페닐트라이메티콘, 적색산화철, 다이메티콘, 카프릴릴글라이콜, 에틸헥실글리세린, 트라이에톡시카프릴릴실레인, 흑색산화철, 황색4호, 알루미늄하이드록사이드, 적색226호, 메티콘, 토코페롤 [우] 마이카, 탤크, 티타늄디옥사이드 (CI 77891), 헥실라우레이트, 알루미늄전분옥테닐석시네이트, 다이아이소스테아릴말레이트, 페닐트라이메티콘, 비닐다이메티콘, 합성플루오르플로고파이트, 다이메티콘, 마그네슘미리스테이트, 징크스테아레이트, 카프릴릴글라이콜, 에틸헥실글리세린, 적색산화철, 트라이에톡시카프릴릴실레인, 황색4호, 틴옥사이드, 황색5호, 실리카, 적색202호, 토코페롤"
수분가득 콜라겐 딥시트 마스크 37ml,에뛰드,"정제수, 하이드롤라이즈드콜라겐(60,056ppm), 다이프로필렌글라이콜, 세틸에틸헥사노에이트, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 글리세레스-26, 폴리글리세릴-3다이스테아레이트, 글리세릴스테아레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 부틸렌글라이콜, 트레할로오스, 판테놀, 글리세릴스테아레이트시트레이트, 스페인감초뿌리추출물, 녹차추출물, 생강추출물, 콥티스뿌리추출물, 카보머, 알지닌, 잔탄검, 에틸헥실글리세린, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 다이소듐이디티에이, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 솔비탄아이소스테아레이트, 세라마이드엔피, 콜레스테롤, 하이드롤라이즈드루핀단백질"
순정 디렉터 수분 선크림 기획세트 SPF50+/PA++++,에뛰드,"정제수, 다이부틸아디페이트, 프로판다이올, 부틸렌글라이콜, 에칠헥실트리아존, 테레프탈릴리덴디캠퍼설포닉애씨드, 폴리글리세릴-3다이스테아레이트, 트로메타민, 1,2-헥산다이올, 펜틸렌글라이콜, 세테아릴알코올, 디에칠아미노하이드록시벤조일헥실벤조에이트, 폴리실리콘-15, 글리세릴스테아레이트, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 포타슘세틸포스페이트, 메틸프로판다이올, 실리카, 카보머, 병풀추출물, 글리세릴스테아레이트시트레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리에터-1, 다이소듐이디티에이, 바이오사카라이드검-1, 알란토인, 판테놀, 토코페롤, 마데카소사이드"
닥터 마스카라 픽서 포 래쉬  6g,에뛰드,"아이소도데케인, 브이피/에이코신코폴리머, 사이클로펜타실록세인, 트라이메틸실록시실리케이트, 실리카, 다이스테아다이모늄헥토라이트, 합성왁스, 아이소부틸메타크릴레이트/비스-하이드록시프로필다이메티콘아크릴레이트코폴리머, 프로필렌카보네이트, 에틸렌/프로필렌코폴리머, 흑색산화철, 트라이에톡시카프릴릴실레인"
프루프 10 젤 방수 펜슬 0.3 g,에뛰드,"흑색산화철, 트리메칠실록시실리케이트, 사이클로펜타실록산, 이소도데칸, 폴리에칠렌, 합성왁스, 세레신, 마이카, 합성칸데릴라왁스, 폴리이소부텐, 티타늄디옥사이드"
순정 디렉터 선크림,에뛰드,"[전성분] 정제수, 다이부틸아디페이트, C12-15알킬벤조에이트, 다이프로필렌글라이콜, 티타늄디옥사이드 (CI 77891), 코코-카프릴레이트/카프레이트, 아이소노닐아이소노나노에이트, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 나이아신아마이드, 펜틸렌글라이콜, 1,2-헥산다이올, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 에칠헥실트리아존, 글리세린, 폴리실리콘-15, 테레프탈릴리덴디캠퍼설포닉애씨드, 폴리하이드록시스테아릭애씨드, 폴리C10-30알킬아크릴레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 폴리메틸실세스퀴옥세인, 포타슘세틸포스페이트, 트로메타민, 아이소도데케인, 옥틸도데칸올, 알루미늄하이드록사이드, 소듐폴리아크릴로일다이메틸타우레이트, 판테놀, 스테아릭애씨드, 폴리글리세릴-6스테아레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-4아이소스테아레이트, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 아이소프로필티타늄트라이아이소스테아레이트, 하이드록시프로필메틸셀룰로오스스테아록시에터, 폴리아크릴레이트크로스폴리머-6, 에틸헥실글리세린, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 폴리글리세릴-6베헤네이트, 토코페롤, 베헤닐알코올, 잔탄검, 황색산화철 (CI 77492), 적색산화철 (CI 77491)[전성분] 정제수, 소듐코코일이세티오네이트, 글리세린, 하이드록시프로필스타치포스페이트, 소듐메틸코코일타우레이트, 데실글루코사이드, 포타슘코코일글리시네이트, 세테아릴알코올, 글리세릴스테아레이트, 솔비탄올리베이트, 글라이콜다이스테아레이트, 포타슘코코에이트, 카프릴릴글라이콜, 시트릭애씨드, 폴리쿼터늄-67, 글리세릴카프릴레이트, 다이소듐이디티에이, 소듐아세테이트, 소듐클로라이드, 판테놀, 펜틸렌글라이콜, 마데카소사이드"
뽀오얀 미소 발효 립&아이 리무버 250ml,에뛰드,"정제수, 세틸에틸헥사노에이트, C9-12알케인, C18-21알케인, 글리세린, 아이소도데케인, 헥실렌글라이콜, 소듐클로라이드, 코코-카프릴레이트/카프레이트, 카프릴릴/카프릴글루코사이드, 라우릴메틸글루세스-10하이드록시프로필다이모늄클로라이드, 1,2-헥산다이올, 다이포타슘포스페이트, 소듐메타포스페이트, 에틸헥실글리세린, 부틸렌글라이콜, 포타슘포스페이트, 효모/보리씨발효여과물, 프로판다이올, 쌀겨오일, 모나스커스/쌀발효물, 돌콩지질, 토코페롤, 다이소듐이디티에이"
님프 광채볼류머 투명한 물광 24g,에뛰드,"하이드로제네이티드폴리데센, 하이드로제네이티드폴리아이소부텐, 피마자씨오일, 에틸렌/프로필렌코폴리머, 에틸헥실올리베이트, 폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트, 향료, 카프릴릴글라이콜, 다이아이소스테아릴말레이트, 아르간커넬오일, 옥틸도데실스테아로일스테아레이트, 에틸헥실글리세린, 아보카도오일, 티타늄디옥사이드 (CI 77891), 1,2-헥산다이올, 울트라마린, 적색산화철, 하이드롤라이즈드하이알루로닉애씨드"
청순거짓 브라우카라 대용량 기획세트,에뛰드,"정제수, 사이클로펜타실록세인, 트라이메틸실록시실리케이트, 아이소도데케인, 탤크, 메틸트라이메티콘, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 피이지-10다이메티콘, 적색산화철, 오조케라이트, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 황색산화철, 흑색산화철, 부틸렌글라이콜, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 마이카, 티타늄디옥사이드 (CI 77891), 소듐클로라이드, 에틸헥산다이올, 펜틸렌글라이콜, 다이스테아다이모늄헥토라이트, 1,2-헥산다이올, 프로필렌카보네이트, 트라이에톡시카프릴릴실레인, 아이소프로필티타늄트라이아이소스테아레이트, 다이소듐이디티에이, 비스-피이지-15다이메티콘/아이피디아이코폴리머, 알루미늄하이드록사이드, 피이지-2소이아민, 토코페롤"
컬 픽스 마스카라,에뛰드,"아이소도데케인, 트라이메틸실록시실리케이트, 세레신, 덱스트린팔미테이트/에틸헥사노에이트, 탤크, 부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머, 마이크로크리스탈린왁스, 흑색산화철, 다이스테아다이모늄헥토라이트, 폴리프로필실세스퀴옥세인, 프로필렌카보네이트, 하이드로제네이티드폴리아이소부텐, 트라이에톡시카프릴릴실레인, 비에이치티"
블링블링 아이스틱 1.4g,에뛰드,"트라이에틸헥사노인, 합성플루오르플로고파이트, 마이카, 페닐트라이메티콘, 티타늄디옥사이드 (CI 77891), 카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드, 세레신, 스쿠알란, 폴리에틸렌, 비스머스옥시클로라이드, 보론나이트라이드, 나일론-12, 네오펜틸글라이콜다이카프레이트, 카프릴릭/카프릭트라이글리세라이드, 칼슘소듐보로실리케이트, 솔비탄세스퀴올리에이트, 칸데릴라왁스, 카프릴릴글라이콜, 토코페릴아세테이트, 해바라기씨오일, 포도씨오일, 글리세릴카프릴레이트, 페녹시에탄올, 스테아랄코늄헥토라이트, 헥실렌글라이콜, 프로필렌카보네이트, 틴옥사이드"
라인 픽스 브러쉬 라이너 0.5g,에뛰드,"정제수, 암모늄스타이렌/아크릴레이트코폴리머, 카본블랙, 부틸렌글라이콜, 암모늄아크릴레이트코폴리머, 스타이렌/아크릴레이트코폴리머, 펜틸렌글라이콜, 페녹시에탄올, 1,2-헥산다이올, 카프릴릴글라이콜, 소듐데하이드로아세테이트, 에틸헥실글리세린, 다이소듐이디티에이, 트라이데세스-6포스페이트, 다이프로필렌글라이콜, 바나나추출물, 글리세릴카프릴레이트, 바오밥나무씨추출물, 검정콩추출물, 흑미추출물, 검은깨추출물, 시메티콘"
팡팡 헤어 섀도우 3.5g,에뛰드,"탤크, 마그네슘포타슘플루오로실리케이트, 흑색산화철, 폴리메틸메타크릴레이트, 마이카, 폴리에틸렌, 다이페닐실록시페닐트라이메티콘, 황색산화철, 옥틸도데실스테아로일스테아레이트, 트라이에톡시카프릴릴실레인, 적색산화철, 트라이메틸실록시실리케이트, 다이메티콘, 에틸헥실글리세린, 폴리프로필실세스퀴옥세인, 카프릴릴메티콘, 데하이드로아세틱애씨드, 정제수, 에탄올, 부틸렌글라이콜, 녹차추출물, 덱스트린, 마트리카리아꽃수, 글리세린, 락토바실러스발효물, 토코페롤, 프로판다이올, 동백나무씨오일, 판테놀, 세라마이드엔피, 1,2-헥산다이올, 검정콩추출물, 피토스핑고신, 하이드로제네이티드레시틴, 락토바실러스발효용해물, 다이소듐이디티에이"
픽싱틴트 4g,에뛰드,"정제수,아이소도데케인,다이메티콘,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,부틸렌글라이콜,다이스테아다이모늄헥토라이트,트라이칼슘포스페이트,다이메티콘/비닐다이메티콘크로스폴리머,솔비탄아이소스테아레이트,라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,다이아이소스테아릴말레이트,다이글리세린,세틸피이지/피피지-10/1다이메티콘,스테아릴다이메티콘,마그네슘설페이트,다이페닐실록시페닐트라이메티콘,1,2-헥산다이올,프로필렌카보네이트,티타늄디옥사이드 (CI 77891),적색202호,폴리글리세릴-3다이아이소스테아레이트,옥타데센,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,황색4호,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,향료,솔비탄올리베이트,실리카다이메틸실릴레이트,적색산화철,황색5호,트라이에톡시카프릴릴실레인,적색104호의(1),솔비탄세스퀴올리에이트,에틸헥실글리세린,청색1호,적색201호,토코페롤,펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트"
진저슈가 립밤스틱 3.7g,에뛰드,"스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 비스-다이글리세릴폴리아실아디페이트-2, 하이드로제네이티드캐스터오일아이소스테아레이트, 브이피/헥사데센코폴리머, 펜타에리스리틸테트라아이소스테아레이트, 다이아이소스테아릴말레이트, 합성왁스, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 합성플루오르플로고파이트, 야자씨버터, 시어버터, 세레신, 수크로오스테트라스테아레이트트라이아세테이트, 토코페릴아세테이트, 마이크로크리스탈린왁스, 1,2-헥산다이올, 에틸렌/프로필렌코폴리머, 리모넨, 라우로일라이신, 향료, 에틸헥실글리세린, 실리카, 리날룰, 시트랄, 제라니올, 에리스리톨, 정제수, 부틸렌글라이콜, 생강추출물, 토코페롤"
진저슈가 에센셜 립밤 15ml,에뛰드,"다이아이소스테아릴말레이트, 폴리부텐, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 피토스테릴이소스테아릴다이머디리놀리에이트, 하이드로제네이티드폴리아이소부텐, 덱스트린팔미테이트/에틸헥사노에이트, 시어버터, 글리세린, 토코페릴아세테이트, 야자씨버터, 트라이에틸헥사노인, 에틸렌/프로필렌/스타이렌코폴리머, 칸데릴라왁스, 다이메티콘, 카프릴릭/카프릭트라이글리세라이드, 리모넨, 수크로오스테트라스테아레이트트라이아세테이트, 해바라기씨왁스, 오조케라이트, 합성왁스, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 폴리하이드록시스테아릭애씨드, 향료, 다이스테아다이모늄헥토라이트, 레시틴, 솔비탄아이소스테아레이트, 에틸헥실팔미테이트, 아이소스테아릭애씨드, 아이소프로필미리스테이트, 데하이드로아세틱애씨드, 폴리글리세릴-3폴리리시놀리에이트, 리날룰, 부틸렌/에틸렌/스타이렌코폴리머, 시트랄, 펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트, 제라니올, 에리스리톨, 정제수, 부틸렌글라이콜, 생강추출물"
그림자쉐딩 재창조 & 재창조 쉐딩스틱 기획세트,에뛰드,"[톤앤톤] 탤크, 마이카, 펜타에리스리틸테트라에틸헥사노에이트, 나일론-12, 다이아이소스테아릴말레이트, 마그네슘스테아레이트, 티타늄디옥사이드 (CI 77891), 황색산화철, 흑색산화철, 다이메티콘, 적색산화철, 1,2-헥산다이올, 아미노프로필다이메티콘, 폴리메틸실세스퀴옥세인, 글리세릴카프릴레이트, 망가니즈바이올렛, 트라이에톡시카프릴릴실레인, 알루미나, 실리카 [무드온] 탤크, 마이카, 펜타에리스리틸테트라에틸헥사노에이트, 나일론-12, 다이아이소스테아릴말레이트, 티타늄디옥사이드 (CI 77891), 황색산화철, 마그네슘스테아레이트, 흑색산화철, 적색산화철, 다이메티콘, 1,2-헥산다이올, 아미노프로필다이메티콘, 폴리메틸실세스퀴옥세인, 글리세릴카프릴레이트, 트라이에톡시카프릴릴실레인, 알루미나, 실리카 [재창조 #웜쉐딩] 에틸헥실팔미테이트, 사이클로펜타실록세인, 실리카, 합성왁스, 카프릴릭/카프릭트라이글리세라이드, 티타늄디옥사이드 (CI 77891), 다이메티콘, C13-15알케인, 트라이메틸실록시실리케이트, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 아이소도데케인, 세틸피이지/피피지-10/1다이메티콘, 폴리글리세릴-3폴리리시놀리에이트, 파라핀, 호호바에스터, 솔비탄아이소스테아레이트, 브이피/헥사데센코폴리머, 황색산화철, 다이메티콘/비닐다이메티콘크로스폴리머, 흑색산화철, 마이크로크리스탈린왁스, 다이스테아다이모늄헥토라이트, 적색산화철, 트라이에톡시카프릴릴실레인, 알루미늄하이드록사이드, 토코페롤, 펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트"
슈팅빔 하이라이터 3g,에뛰드,"마이카, 티타늄디옥사이드 (CI 77891), 다이아이소스테아릴말레이트, C9-12알케인, 하이드로제네이티드폴리아이소부텐, 트라이에틸헥사노인, 다이메티콘, 실리카, 징크스테아레이트, 옥틸도데칸올, 다이페닐다이메티콘, 다이메티콘/비닐다이메티콘크로스폴리머, 다이스테아다이모늄헥토라이트, 카프릴릴글라이콜, 에틸헥실글리세린, 적색산화철, 하이드로제네이티드식물성오일, 토코페롤, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트, 솔비탄트라이스테아레이트, 틴옥사이드"
