상품명,brand,URL,price_original,category,subcategory
뽀용 아이 메이커,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66097,24000.0,기타,미분류
재창조 메이커 1g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59993,14000.0,건기식,기능성식품
오 마이 래쉬 쌩얼 카라 7ml,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53657,9000.0,기타,미분류
파워 래쉬 속눈썹 영양제 6g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53656,23000.0,건기식,기능성식품
재창조 메이커 오버립,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61488,14000.0,기타,미분류
순정 약산성 5.5 폼 클렌저 150ml,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58268,12000.0,기타,미분류
진저슈가 오버나이트 립마스크 23g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=55142,11000.0,스킨케어,마스크팩
수분가득 콜라겐 아이크림 28ml,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=53252,23000.0,스킨케어,크림
컬러 래스팅 글로우 스틱 3.2g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62608,16000.0,건기식,기능성식품
빅 커버 스킨 핏 컨실러 7g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59269,13000.0,건기식,기능성식품
닥터 마스카라 픽서 6g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67466,8000.0,메이크업,마스카라
뽀오얀 미소 발효 클렌징오일 150ml,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59264,19000.0,기타,미분류
베이킹 파우더 B.B 딥 클렌징폼 160g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54907,9000.0,건기식,기능성식품
순정 디렉터 무기자차 선크림 기획세트 SPF50+/PA++++,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58928,25000.0,선케어,선크림
피지쏙 파우더 5g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58259,10000.0,건기식,기능성식품
오마이래쉬 마스카라 1호 탑코트 12g,에뛰드,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54841,6000.0,메이크업,마스카라
