상품명,가격,할인율,평점,용량,전성분,URL
레드이치 케어크림 330ml,"19,700원",24%,4.8,330ml,"정제수, 글리세린, 부틸렌글라이콜, 프로판다이올, 다이메티콘, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 판테놀, 하이드록시프로필비스팔미타마이드엠이에이, 아라키딜글루코사이드, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 폴리아이소부텐, 글리세릴카프릴레이트, 인삼수, 올레아놀릭애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 폴리솔베이트20, 솔비탄아이소스테아레이트, 들깨추출물, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 미리스틱애씨드, 아라키딕애씨드, 검정콩오일, 콜레스테롤, 달맞이꽃오일, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 토코페롤, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=50363
저자극 이지워시 선크림 SPF50+/PA++++ 150ml,"19,900원",33%,4.8,150ml,"정제수, 호모살레이트, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 에칠헥실살리실레이트, 글리세린, 페닐트라이메티콘, C12-15알킬벤조에이트, 실리카, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 다이부틸아디페이트, 테레프탈릴리덴디캠퍼설포닉애씨드, 세테아릴알코올, 1,2-헥산다이올, 트로메타민, 포타슘세틸포스페이트, 글리세릴스테아레이트, 폴리아크릴레이트크로스폴리머-6, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 베헤닐알코올, 하이드로제네이티드레시틴, 글리세릴카프릴레이트, 황금추출물, 스테아릭애씨드, 인삼수, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 향료, 프로판다이올, T-부틸알코올, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 미리스틱애씨드, 라우릭애씨드, 병풀꽃/잎/줄기추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=44987
울트라 리페어 딥 모이스춰 워시 500ml,"9,400원",32%,4.8,500ml,"정제수, 글리세린, 라우릴글루코사이드, 다이프로필렌글라이콜, 코카미도프로필베타인, 소듐C14-16올레핀설포네이트, 판테놀, 다이소듐코코암포다이아세테이트, 소듐클로라이드, 소듐벤조에이트, 시트릭애씨드, 향료, 카프릴릴글라이콜, 폴리쿼터늄-10, 에틸헥실글리세린, 폴리쿼터늄-7, 부틸렌글라이콜, 인삼수, 다이소듐이디티에이, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 토코페롤, 토코페릴아세테이트, 호호바씨오일, 7-데하이드로콜레스테롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=17900
세라마이드 아토 6.0 탑투토워시 1000ml,"16,900원",29%,6.0,1000ml,"정제수, 코카미도프로필베타인, 솔비톨, 다이소듐라우레스설포석시네이트, 코카마이드메틸엠이에이, 소듐클로라이드, 다이소듐코코암포다이아세테이트, 코카마이드엠이에이, 1,2-헥산다이올, 소듐벤조에이트(0.499%), 시트릭애씨드, 다이소듐이디티에이, 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 들깨추출물, 낫토검, 세라마이드엔피(10ppb), 에틸헥실글리세린, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 3ppb), 만니톨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 콜레스테롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=46646
세라마이드 아토 속보습 스킨 250ml,"18,400원",20%,4.8,180ml,"정제수, 글리세린, 다이메티콘, 1,2-헥산다이올, 프로판다이올, 베타인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 부틸렌글라이콜, 세테아릴알코올, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴카프릴레이트, 하이드로제네이티드레시틴, 글리세릴스테아레이트시트레이트, 인삼수, 에틸헥실글리세린, 카보머, 다이소듐이디티에이, 검정콩오일, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 알란 토인, 트로메타민, 흰목이버섯포자낭과추출물, 하이알루로닉애씨드, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 세라마이드엔피 (45 ppm), 잔탄검, 피토스핑고신, 토코페롤, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=45693
레드이치 케어크림 75ml,"5,800원",15%,4.8,75ml,"정제수, 글리세린, 부틸렌글라이콜, 프로판다이올, 다이메티콘, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 판테놀, 하이드록시프로필비스팔미타마이드엠이에이, 아라키딜글루코사이드, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 폴리아이소부텐, 글리세릴카프릴레이트, 인삼수, 올레아놀릭애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 폴리솔베이트20, 솔비탄아이소스테아레이트, 들깨추출물, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 글루코오스, 미리스틱애씨드, 아라키딕애씨드, 검정콩오일, 콜레스테롤, 달맞이꽃오일, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 토코페롤, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60415
레드이치 케어오일 200ml,"18,700원",22%,4.8,200ml,"카프릴릭/카프릭트라이글리세라이드, 해바라기씨오일, 에틸헥실스테아레이트, 옥틸도데실미리스테이트, 다이카프릴릴카보네이트, 스쿠알란, 데실코코에이트, 호호바씨오일, 불가리스쑥오일, 올리브오일, 달맞이꽃오일, 스위트아몬드오일, 토코페롤, 부틸렌글라이콜, 인삼수, 정제수, 글리세린, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 검정콩오일, 세라마이드엔피, 피토스핑고신, 들깨추출물, 하이드로제네이티드레시틴, 로즈마리잎추출물, 카놀라오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58881
세라마이드 아토 여행용 키트 (로션 50ml+크림 30ml+워시 50ml),"8,900원",18%,4.8,로션 50ml+워시 50ml+크림 30ml,"[로션] 정제수, 글리세린, 프로판다이올, 다이메티콘, 하이드로제네이티드쌀겨오일, 하이드로제네이티드폴리(C6-14올레핀), 세틸에틸헥사노에이트, 다이아이소스테아릴말레이트, 1,2-헥산다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, C14-22알코올, 아라키딜알코올, 팔미틱애씨드, 글리세릴스테아레이트, 스테아릭애씨드, 베헤닐알코올, C12-20알킬글루코사이드, 글리세릴카프릴레이트, 아라키딜글루코사이드, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 부틸렌글라이콜, 소듐메타포스페이트, 인삼수, 황금추출물, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 65.5ppm), 만니톨, 매실추출물, 하이드로제네이티드레시틴, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 세라마이드엔피(4.04ppm), 토코페롤, 콜레스테롤, 피토스핑고신, 실리카, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 아라키딕애씨드, 올레익애씨드, 카놀라오일, 로즈마리잎추출물 [크림] 정제수, 부틸렌글라이콜, 글리세린, 에틸헥실스테아레이트, 다이메티콘, 다이카프릴릴카보네이트, 베헤닐알코올, 스테아릭애씨드, 팔미틱애씨드, 세틸에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 아라키딜알코올, C14-22알코올, 세틸-피지하이드록시에틸팔미타마이드(세라마이드 CPP-40 7622ppm), 폴리아크릴레이트-13, 만니톨, 아라키딜글루코사이드, C12-20알킬글루코사이드, 하이드로제네이티드폴리아이소부텐, 글리세릴카프릴레이트, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 다이메티콘올, 인삼수, 카보머, 솔비탄아이소스테아레이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 황금추출물, 프로판다이올, 콜레스테롤, 실리카, 매실추출물, 아라키딕애씨드, 검정콩오일, 스쿠알란, 마데카소사이드, 폴리글리세릴-10펜타스테아레이트, 토코페롤, 세라마이드엔피(4ppm), 올레익애씨드, 피토스핑고신, 펜틸렌글라이콜, 다이포타슘글리시리제이트, 카놀라오일, 로즈마리잎추출물 [워시] 정제수, 코카미도프로필베타인, 솔비톨, 다이소듐라우레스설포석시네이트, 코카마이드메틸엠이에이, 소듐클로라이드, 다이소듐코코암포다이아세테이트, 코카마이드엠이에이, 1,2-헥산다이올, 소듐벤조에이트(0.499%), 시트릭애씨드, 다이소듐이디티에이, 부틸렌글라이콜, 인삼수, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 들깨추출물, 낫토검, 세라마이드엔피(10ppb), 에틸헥실글리세린, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이(세라마이드 PC-104 3ppb), 만니톨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 콜레스테롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=48416
프로바이오틱스 스킨 배리어 약산성 여성청결제 300ml,"16,900원",29%,4.8,300ml,"정제수, 글리세린, 솔비톨, 1,2-헥산다이올, 라우릴글루코사이드, 카프릴릴글라이콜, 에틸헥실글리세린, 시트릭애씨드, 덱스트린, 부틸렌글라이콜, 인삼수, 락토바실러스발효용해물(1ppm), 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=43618
프레쉬 모이스춰 립앤아이 리무버 300ml,"14,900원",35%,4.8,300ml,"정제수, 사이클로펜타실록세인, 코코넛야자오일, 헥실렌글라이콜, 소듐클로라이드, 코코-카프릴레이트/카프레이트, 라우릴메틸글루세스-10하이드록시프로필다이모늄클로라이드, 1,2-헥산다이올, 포타슘포스페이트, 카프릴릴/카프릴글루코사이드, 다이소듐이디티에이, 에틸헥실글리세린, 다이포타슘포스페이트, 부틸렌글라이콜, 유자껍질추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=36790
