상품명,가격,할인율,평점,용량,전성분,URL
메이크온 시너지 마스크 (수분/광채/콜라겐 3종택1),"2,800원",30%,4.9,20g,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 판테놀, 카보머, 알지닌, 잔탄검, 메틸트라이메티콘, 알란토인, 폴리글리세릴-10라우레이트, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아데노신, 세라마이드엔피, 향료, 다이소듐이디티에이, 2,3-부탄다이올, 소듐하이알루로네이트, 알부틴, 하이드로제네이티드레시틴, 글리세릴스테아레이트, 하이드록시프로필트라이모늄하이알루로네이트, 콜레스테롤, 세라마이드엔에스, 세라마이드에이피, 세라마이드에이에스, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 카프릴릭/카프릭트라이글리세라이드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트, 스쿠알란, 세틸에틸헥사노에이트, 병풀추출물, 마카다미아씨오일, 스테아릭애씨드, 토코페롤, 올레익애씨드, 유채스테롤, 세라마이드이오피",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64345
가볍게 마시는 히알루론산 (20ml*15),"24,500원",30%,4.6,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64863
스킨 라이트 테라피 III,"315,000원",10%,4.8,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64314
스킨 라이트 테라피 3S,"355,000원",25%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=24733
젬 소노 테라피 릴리프,"260,000원",20%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=21343
히알루로닉 스파 캡슐 24개입,"90,000원",,4.8,24개입(3개입*8),"소듐하이알루로네이트, 만니톨",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56301
마그네타이트 바디롤러,"126,000원",30%,4.7,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=38492
Sold out,"1,899,000원",,5.0,,,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67302
페이셜 부스팅 스파,"301,500원",33%,4.6,1EA,해당없음,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=49262
