상품명,가격,할인율,평점,용량,전성분,URL
트리트먼트 엔자임 클렌징 폼 120g,"37,800원",10%,4.8,120g,"""정제수, 피이지-8, 미리스틱애씨드, 글리세린, 스테아릭애씨드, 포타슘하이드록사이드, 라우릭애씨드, 팔미틱애씨드, 글리세 릴스테아레이트, 피이지-100스테아레이트, 변성알코올, 폴리 쿼터늄-7, 피토스테릴/옥틸도데실라우로일글루타메이트, 향료, 피이지-150다이스테아레이트, 덱스트린, 부틸렌글라이콜, 트레 할로오스, 다이소듐이디티에이, 소듐벤조에이트, 락토바실러 스발효용해물, 소듐하이알루로네이트, 리모넨, 제라니올, 코튼 추출물, 토코페롤""",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19565
모이스춰 플럼핑 넥타 크림 50ml,"135,000원",10%,4.8,50ml,"왕대수액, 정제수, 시어버터, 글리세린, 프로판다이올, 메틸트라이메티콘, 펜타에리스리틸테트라에틸헥사노에이트, 부틸렌글라이콜, 에탄올, 녹차씨오일, 1,2-헥산다이올, 스쿠알란, 메도우폼씨오일, 소듐카보머, 판테놀, 하이드로제네이티드레시틴, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, 향료, 토코페롤, 콜레스테롤, 세라마이드엔피, 페녹시에탄올, 잔탄검, 글리세릴카프릴레이트, 스테아릭애씨드, 에틸헥실글리세린, 아데노신, 팔미틱애씨드, 리모넨, 제라니올, 알파-아이소메틸아이오논, 연꽃추출물, 시트로넬올, 리날룰, 하이드록시시트로넬알, 녹차추출물, 카프릴릴글라이콜, 시트릭애씨드, 피탄트라이올, 폴록사머407, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카페인, 테아닌, 에피갈로카테킨갈레이트, 캠페롤, 녹차꽃추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=14973
타임 레스폰스 스킨 리뉴얼 미스트 200ml,"108,000원",10%,4.9,200ml,"녹차수, 부틸렌글라이콜, 글리세린, 트라이에틸헥사노인, 다이메티콘, 1,2-헥산다이올, 스쿠알란, 피이지-60글리세릴아이소스테아레이트, 글리세릴스테아레이트, 세테아릴알코올, 피이지-20글리세릴아이소스테아레이트, 스테아릭애씨드, 팔미틱애씨드, 페녹시에탄올, 에틸헥실글리세린, 다이소듐이디티에이, 향료, 포타슘하이드록사이드, 녹차씨오일, 정제수, 리모넨, 미리스틱애씨드, 아라키딕애씨드, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=19019
타임 레스폰스 스킨 리저브 플루이드 160ml,"198,000원",10%,4.8,160ml,"녹차수, 프로판다이올, 정제수, 글리세린, 스쿠알란, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 펜타에리스리틸테트라에틸헥사노에이트, 변성알코올, 다이아이소스테아릴말레이트, 피씨에이다이메티콘, 피이지-60글리세릴아이소스테아레이트, 다이메티콘, 1,2-헥산다이올, 피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트, C14-22알코올, 스테아릭애씨드, 나이아신아마이드, 글리세릴스테아레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 팔미틱애씨드, 아라키딜알코올, C12-20알킬글루코사이드, 향료, 베헤닐알코올, 다이메티콘/비닐다이메티콘크로스폴리머, 카보머, 글리세릴카프릴레이트, 트로메타민, 아라키딜글루코사이드, 에틸헥실글리세린, 다이소듐이디티에이, 아데노신, 베타-글루칸, 소듐하이알루로네이트, 솔비탄아이소스테아레이트, 폴리솔베이트60, 낫토검, 돌콩추출물, 녹차추출물, 리모넨, 덱스트린, 카카오추출물, 글루코오스, 제라니올, 알파-아이소메틸아이오논, 시트로넬올, 리날룰, 하이드록시시트로넬알, 폴록사머235, 베타인, 에피갈로카테킨갈레이트, 에톡시다이글라이콜, 토코페솔란, 폴록사머338, 토코페롤, 페녹시에탄올, 인삼추출물, 카프릴릴글라이콜",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=18844
Sold out,"72,000원",10%,4.8,160ml,"정제수, 부틸렌글라이콜, 글리세린, 변성알코올, 1,2-헥산다이올, 베타인, 카프릴릭/카프릭트라이글리세라이드, 왕대수액, 글리세릴폴리메타크릴레이트, 다이메티콘, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드로제네이티드레시틴, 프로판다이올, 에탄올, 잔탄검, 콜레스테롤, 글리세릴카프릴레이트, 향료, 에틸헥실글리세린, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 베타-글루칸, 하이알루로닉애씨드, 코튼추출물, 리모넨, 소듐메틸스테아로일타우레이트, 페녹시에탄올, 제라니올, 알파-아이소메틸아이오논, 시트로넬올, 리날룰, 말라카이트추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=32261
보태니컬 수딩 토너 200ml,"81,000원",10%,4.9,200ml,"정제수, 부틸렌글라이콜, 판테놀, 다이프로필렌글라이콜, 1,2-헥산다이올, 왕대수액, 피피지-13-데실테트라데세스-24, 잔탄검, 소듐시트레이트, 시트릭애씨드, 에탄올, 에틸헥실글리세린, 향료, 다이소듐이디티에이, 하이알루로닉애씨드, 코튼추출물, 페녹시에탄올, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=32260
타임 레스폰스 스킨 리저브 토너 200ml,"180,000원",10%,4.8,200ml,"녹차수, 부틸렌글라이콜, 정제수, 글리세린, 변성알코올, 베타인, 1,2-헥산다이올, 프로판다이올, 피이지-60하이드로제네이티드캐스터오일, 비스-피이지-18메틸에터다이메틸실레인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카페인, 카보머, 다이포타슘글리시리제이트, 향료, 트로메타민, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 바이오사카라이드검-1, 펜틸렌글라이콜, 낫토검, 베타-글루칸, 소듐하이알루로네이트, 돌콩추출물, 녹차추출물, 트레할로오스, 리모넨, 락토바실러스발효용해물, 제라니올, 폴록사머235, 알파-아이소메틸아이오논, 시트로넬올, 에피갈로카테킨갈레이트, 에톡시다이글라이콜, 토코페솔란, 폴록사머338, 페녹시에탄올, 글루코오스, 토코페롤, 인삼추출물, 일본목련나무껍질추출물, 카프릴릴글라이콜",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=16855
