상품명,가격,할인율,평점,용량,전성분,URL
자양윤모 9이엑스 탈모증상전문케어 모근강화 트리트먼트 330ml,"9,900원",41%,4.8,330ml,"정제수, 글리세린, 다이프로필렌글라이콜, 세틸알코올, 스테아릴알코올, 카프릴릭/카프릭트라이글리세라이드, 스테아라미도프로필다이메틸아민, 향료, 글루타믹애씨드, 카페인, 피피지-3카프릴릴에터, 다이팔미토일에틸하이드록시에틸모늄메토설페이트, 멘톨, 포도씨오일, 하이드록시에틸셀룰로오스, 덱스트린, 카카오추출물, 에탄올, 다이소듐이디티에이, 에틸헥실글리세린, 마카다미아씨오일, 리날룰, 벤질살리실레이트, 헥실신남알, 벤질벤조에이트, 제라니올, 알파-아이소메틸아이오논, 폴리쿼터늄-55, 인삼전초추출물, 부틸렌글라이콜, 폴리쿼터늄-11, 인삼추출물, 1,2-헥산다이올, 스페인감초뿌리추출물, 생강추출물, 페녹시에탄올, 카프릴릴글라이콜, 토코페롤, 하수오뿌리추출물, 쌀추출물, 띠뿌리추출물, 황금추출물, 참깨추출물, 인동덩굴꽃추출물, 포트마리골드꽃추출물, 남가새열매추출물, 동백나무씨오일, 녹차씨오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=46409
루트젠 여성 맞춤 탈모증상전문케어 트리트먼트 515ml,"19,900원",13%,4.8,515 ml,"정제수, 솔비톨, 베헨트라이모늄메토설페이트, 아이소펜틸다이올, 세틸알코올, 스테아릴알코올, 세틸에틸헥사노에이트, 말티톨, 잇꽃씨오일, 코코-카프릴레이트/카프레이트, 폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트, 향료, 부틸렌글라이콜, 카페인, 하이드록시프로필스타치포스페이트, 호호바에스터, 리모넨, 소이아미도프로필아민옥사이드, 멘톨, 마트리카리아꽃수, 카프릴릴글라이콜, 소듐메타포스페이트, 프로판다이올, 변성알코올, 올레익애씨드, 에틸헥실글리세린, 호호바씨오일, 하이드록시프로필비스팔미타마이드엠이에이, 측백나무씨추출물, 콜레스테롤, 카프릴릭/카프릭트라이글리세라이드, 인삼뿌리세포추출물, 1,2-헥산다이올, 검정콩추출물, 에탄올, 석류추출물, 라벤더오일, 동백나무씨오일, 녹차씨오일, 콩폴리펩타이드, 로즈마리잎오일, 글리세린, 베르가모트오일, 생강추출물, 인삼전초추출물, 덱스트린, 사이클로덱스트린, 다마스크장미꽃추출물, 병풀꽃/잎/줄기추출물, 토코페롤, 하이드록시프로필사이클로덱스트린, 검정콩오일, 다이소듐이디티에이, 바위손추출물, 알지닌, 세라마이드엔피, 로즈힙꽃오일, 라임전초오일, 라즈베리씨오일, 크랜베리씨오일, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57271
명품 에이치비엑스 탈모증상완화 앰플 샴푸 500ml,"29,700원",10%,4.7,500ml,"정제수, 소듐라우레스설페이트, 솔비톨, 코코-글루코사이드, 암모늄라우릴설페이트, 코카마이드메틸엠이에이, 라우릴하이드록시설테인, 피피지-3카프릴릴에터, 시트릭애씨드, 라우릭애씨드, 세틸알코올, 코카마이드엠이에이, 변성알코올, 소이아미도프로필아민옥사이드, 소듐벤조에이트, 카프릴릴글라이콜, 다이프로필렌글라이콜, 트라이하이드록시스테아린, 페녹시에탄올, 폴리쿼터늄-10, 클림바졸, 에탄올, 폴리쿼터늄-53, 에틸헥실글리세린, 녹차추출물, 멘톨, 테트라소듐이디티에이, 리날룰, 벤질벤조에이트, 리모넨, 벤질살리실레이트, 헥실신남알, 다이소듐이디티에이, 시트로넬올, 제라니올, 맥아추출물, 하이드록시시트로넬알, 프로판다이올, 폴리쿼터늄-55, 홍삼추출물, 효모/보리씨발효여과물, 1,2-헥산다이올, 자일리톨, 부틸렌글라이콜, 바이오틴, 병풀꽃/잎/줄기추출물, 콩폴리펩타이드, 아스퍼질러스발효물, 토코페롤, 호프추출물, 인삼추출물, 천당삼추출물, 도둑놈의지팡이뿌리추출물, 당잔대뿌리추출물, 스크로폴라리아 노도사추출물, 피이지-150펜타에리스리틸테트라스테아레이트, 피피지-2하이드록시에틸코카마이드, 락토바실러스발효물, 락토코쿠스발효물, 효모발효물, 향료",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=55383
루트젠 두피코어강화 아쿠아필 두피토닉 100ml,"13,900원",17%,4.7,100ml,"정제수, 변성알코올, 2,3-부탄다이올, 에탄올, 다이프로필렌글라이콜, 피이지-60하이드로제네이티드캐스터오일, 멘톨, 동백나무씨추출물, 향료, 소듐시트레이트, 사카라이드아이소머레이트, 시트릭애씨드, 소듐글루코네이트, 글리세린, 리모넨, 살리실릭애씨드, 글루코노락톤, 리날룰, 벤질살리실레이트, 부틸렌글라이콜, 프로판다이올, 약모밀추출물, 1,2-헥산다이올, 돌콩오일, 덱스트린, 나이아신아마이드, 인삼추출물, 레티놀, 글리세릴올리에이트, 하이드로제네이티드레시틴, 라우릴글루코사이드, 폴리글리세릴-10다이올리에이트, 폴리글리세릴-10다이아이소스테아레이트, 이노시톨, 잔탄검, 에틸헥실글리세린, 하이드롤라이즈드식물성단백질, 소듐클로라이드, 토코페롤, 쌀겨오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65841
루트젠 두피코어강화 두피청정샴푸 515ml,"16,900원",10%,4.7,515ml,"정제수, 소듐라우레스설페이트, 솔비톨, 소듐코코일알라니네이트, 코카미도프로필베타인, 코카마이드메틸엠이에이, 향료, 다이소듐라우레스설포석시네이트, 말티톨, 코코-글루코사이드, 멘톨, 카페인, 소듐벤조에이트, 데실글루코사이드, 시트릭애씨드, 소듐클로라이드, 피피지-3카프릴릴에터, 구아하이드록시프로필트라이모늄클로라이드, 세틸알코올, 글리세린, 카프릴릴글라이콜, 리모넨, 트라이하이드록시스테아린, 카프릴릭/카프릭트라이글리세라이드, 소듐시트레이트, 사카라이드아이소머레이트, 폴리쿼터늄-7, 다이카프릴릴에터, 리날룰, 에탄올, 벤질살리실레이트, 글리세릴스테아레이트, 폴리쿼터늄-11, 데하이드로아세틱애씨드, 맥아추출물, 부틸렌글라이콜, 에틸헥실글리세린, 1,2-헥산다이올, 프로판다이올, 약모밀추출물, 돌콩오일, 덱스트린, 나이아신아마이드, 인삼추출물, 레티놀, 글리세릴올리에이트, 하이드로제네이티드레시틴, 라우릴글루코사이드, 폴리글리세릴-10다이올리에이트, 폴리글리세릴-10다이아이소스테아레이트, 동백나무씨추출물, 이노시톨, 잔탄검, 토코페롤, 하이드롤라이즈드식물성단백질, 쌀겨오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65840
함빛 극손상 앤 영양 트리트먼트 300ml,"8,900원",35%,4.8,300 ml,"정제수, 글리세린, 다이메티콘, 세틸알코올, 스테아릴알코올, 베헨트라이모늄클로라이드, 다이프로필렌글라이콜, 하이드로제네이티드폴리아이소부텐, 카페인, 하이드록시에틸셀룰로오스, 향료, 아모다이메티콘, 카프릴릴글라이콜, 클림바졸, 다이소듐이디티에이, 에틸헥실글리세린, 트라이데세스-10, 벤질살리실레이트, 리날룰, 벤질벤조에이트, 1,2-헥산다이올, 헥실신남알, 부틸렌글라이콜, 폴리솔베이트60, 다이소듐포스페이트, 하이드롤라이즈드익스텐신, 덱스트린, 알지닌, 포도씨오일, 인삼추출물, 소듐포스페이트, 다마스크장미꽃추출물, 프로판다이올, 석류추출물, 마카다미아씨오일, 소듐하이알루로네이트, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 올레익애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 호호바씨오일, 하이드록시프로필비스팔미타마이드엠이에이, 콜레스테롤, 동백나무씨오일, 티트리잎오일, 녹차씨오일, 스테아릭애씨드, 리놀레익애씨드, 스페인감초뿌리추출물, 자일리틸글루코사이드, 석류나무꽃추출물, 안하이드로자일리톨, 소듐아세틸레이티드하이알루로네이트, 자일리톨",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60189
자양윤모 탈모전문케어 경주달밤/여수하늘 트리트먼트 200ml,"7,750원",47%,4.7,200 ml,"정제수, 글리세린, 다이프로필렌글라이콜, 세틸알코올, 스테아릴알코올, 코코넛야자오일, 코코-카프릴레이트/카프레이트, 스테아라미도프로필다이메틸아민, 향료, 카프릴릭/카프릭트라이글리세라이드, 글루타믹애씨드, 카페인, 베헨트라이모늄메토설페이트, 멘톨, 부틸렌글라이콜, 다이소듐이디티에이, 에틸헥실글리세린, 리모넨, 리날룰, 에탄올, 폴리쿼터늄-55, 인삼전초추출물, 폴리쿼터늄-11, 인삼추출물, 잇꽃씨오일, 스쿠알란, 1,2-헥산다이올, 생강추출물, 페녹시에탄올, 카프릴릴글라이콜, 석류추출물, 잣나무씨오일, 동백나무씨오일, 토코페롤, 참깨오일, 쌀추출물, 살구씨오일, 띠뿌리추출물, 황금추출물, 참깨추출물, 인동덩굴꽃추출물, 포트마리골드꽃추출물, 남가새열매추출물, 매실나무씨추출물, 녹차씨오일, 연꽃씨추출물, 석류나무꽃추출물, 하수오뿌리추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=54584
루트젠 탈모증상전문케어 헤어볼륨필러 150ml,"17,910원",10%,4.2,150ml,"정제수, 변성알코올, 알지닌, 피이지-60하이드로제네이티드캐스터오일, 에탄올, 시트릭애씨드, 코카미도프로필하이드록시설테인, 브이피/메타크릴아마이드/비닐이미다졸코폴리머, 마트리카리아꽃수, 카프릴릴글라이콜, 동백나무씨추출물, 글리세린, 소듐클로라이드, 향료, 다이소듐이디티에이, 에틸헥실글리세린, 리모넨, 부틸렌글라이콜, 프로판다이올, 인삼뿌리세포추출물, 1,2-헥산다이올, 동백나무씨오일, 녹차씨오일, 인삼전초추출물, 라벤더오일, 로즈마리잎오일, 베르가모트오일, 생강추출물, 동백나무꽃추출물, 다마스크장미꽃추출물, 병풀꽃/잎/줄기추출물, 검정콩오일, 검정콩추출물, 토코페롤, 세라마이드엔피, 피토스핑고신, 하이드로제네이티드레시틴, 카놀라오일, 로즈마리잎추출물 2제(산화제): 정제수, 세테아릴알코올, 하이드로젠퍼옥사이드, 올레스-2, 폴리쿼터늄-6, 스테아트라이모늄클로라이드, 스테아레스-21, 다이소듐포스페이트, 아이소프로필알코올, 에티드로닉애씨드, 포스포릭애씨드, 아세틱애씨드, 포타슘하이드록사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62675
[2입] 루트젠 두피코어강화 두피 청정샴푸 (515mlx2),"33,900원",10%,5.0,515ml *2입,"정제수, 소듐라우레스설페이트, 솔비톨, 소듐코코일알라니네이트, 코카미도프로필베타인, 코카마이드메틸엠이에이, 향료, 다이소듐라우레스설포석시네이트, 말티톨, 코코-글루코사이드, 멘톨, 카페인, 소듐벤조에이트, 데실글루코사이드, 시트릭애씨드, 소듐클로라이드, 피피지-3카프릴릴에터, 구아하이드록시프로필트라이모늄클로라이드, 세틸알코올, 글리세린, 카프릴릴글라이콜, 리모넨, 트라이하이드록시스테아린, 카프릴릭/카프릭트라이글리세라이드, 소듐시트레이트, 사카라이드아이소머레이트, 폴리쿼터늄-7, 다이카프릴릴에터, 리날룰, 에탄올, 벤질살리실레이트, 글리세릴스테아레이트, 폴리쿼터늄-11, 데하이드로아세틱애씨드, 맥아추출물, 부틸렌글라이콜, 에틸헥실글리세린, 1,2-헥산다이올, 프로판다이올, 약모밀추출물, 돌콩오일, 덱스트린, 나이아신아마이드, 인삼추출물, 레티놀, 글리세릴올리에이트, 하이드로제네이티드레시틴, 라우릴글루코사이드, 폴리글리세릴-10다이올리에이트, 폴리글리세릴-10다이아이소스테아레이트, 동백나무씨추출물, 이노시톨, 잔탄검, 토코페롤, 하이드롤라이즈드식물성단백질, 쌀겨오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67131
[2입] 자양윤모 9이엑스 탈모증상전문케어 모근강화 트리트먼트 (330mlx2),"17,900원",47%,4.9,330ml *2입,"정제수, 글리세린, 다이프로필렌글라이콜, 세틸알코올, 스테아릴알코올, 카프릴릭/카프릭트라이글리세라이드, 스테아라미도프로필다이메틸아민, 향료, 글루타믹애씨드, 카페인, 피피지-3카프릴릴에터, 다이팔미토일에틸하이드록시에틸모늄메토설페이트, 멘톨, 포도씨오일, 하이드록시에틸셀룰로오스, 덱스트린, 카카오추출물, 에탄올, 다이소듐이디티에이, 에틸헥실글리세린, 마카다미아씨오일, 리날룰, 벤질살리실레이트, 헥실신남알, 벤질벤조에이트, 제라니올, 알파-아이소메틸아이오논, 폴리쿼터늄-55, 인삼전초추출물, 부틸렌글라이콜, 폴리쿼터늄-11, 인삼추출물, 1,2-헥산다이올, 스페인감초뿌리추출물, 생강추출물, 페녹시에탄올, 카프릴릴글라이콜, 토코페롤, 하수오뿌리추출물, 쌀추출물, 띠뿌리추출물, 황금추출물, 참깨추출물, 인동덩굴꽃추출물, 포트마리골드꽃추출물, 남가새열매추출물, 동백나무씨오일, 녹차씨오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67130
