상품명,가격,할인율,평점,용량,전성분,URL
펄샤이닝 리페어 샴푸/트리트먼트 1000ml,"7,900원",21%,4.8,1000ml,"정제수, 소듐라우레스설페이트, 암모늄라우릴설페이트, 향료(화이트머스크향 1%), 소듐클로라이드, 다이메티콘올, 라우릭애씨드, 세틸알코올, 코카마이드엠이에이, 소듐벤조에이트, 시트릭애씨드, 페녹시에탄올, 구아하이드록시프로필트라이모늄클로라이드, 트라이하이드록시스테아린, 카프릴릴글라이콜, 소듐살리실레이트, 소듐시트레이트, 벤질살리실레이트, 알파-아이소메틸아이오논, 헥실신남알, 테트라소듐이디티에이, 티이에이-도데실벤젠설포네이트, 리날룰, 리모넨, 시트로넬올, 다이소듐이디티에이, 부틸렌글라이콜, 진주층, 석류추출물, 해바라기씨오일, 아르간커넬오일, 로얄젤리추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=56394
스타일케어 헤어스프레이 300ml,"7,500원",25%,4.8,300ml,"변성알코올, 다이메틸에터, 메타크릴로일에틸베타인/아크릴레이트코폴리머, 에탄올, 향료, 락틱애씨드, C12-15알킬벤조에이트, 리모넨, 리날룰, 시트랄, 판테놀, 호호바씨오일, 헥실신남알, 정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 오미자추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=57283
퍼펙트 세럼 홈 케어 트리트먼트 900ml,"13,900원",48%,4.8,900ml,"정제수, 글리세린, 다이메티콘, 다이프로필렌글라이콜, 세틸알코올, 세틸에틸헥사노에이트, 스테아릴알코올, 베헨트라이모늄클로라이드, C12-15알킬벤조에이트, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리아이소부텐, 향료, 아이소프로필알코올, 하이드록시에틸셀룰로오스, 에틸헥실글리세린, 다이소듐이디티에이, 리모넨, 황색5호, 아르간커넬오일, 살구씨오일, 올리브오일, 호호바씨오일, 동백나무씨오일, 코코넛야자오일, 황색4호, 토코페롤, 코코-카프릴레이트/카프레이트, 마룰라씨오일, 글라이코리피드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58467
살롱10 프로페셔널 시카 프로틴 트리트먼트 215ml,"13,900원",18%,4.8,215ml,"정제수, 글리세린, 다이메티콘, 솔비톨, 베헨트라이모늄메토설페이트, 세틸알코올, 베헨트라이모늄클로라이드, 아미노프로필다이메티콘, 말티톨, 다이프로필렌글라이콜, 부틸렌글라이콜, 스테아릴알코올, 글리세릴올리에이트, 향료, 캐모마일꽃수, 아모다이메티콘, 다이올레오일에틸하이드록시에틸모늄메토설페이트, 다이메티콘올, 알지닌, 프로판다이올, 말레익애씨드, 글루타믹애씨드, 소듐메타포스페이트, 카나우바왁스, 에틸헥실글리세린, 리날룰, 헥실신남알, 1,2-헥산다이올, 하이드롤라이즈드식물성단백질(207 ppm), 다마스크장미꽃추출물, 스테아트라이모늄클로라이드, 검정콩추출물, 락틱애씨드, 소듐벤조에이트, 병풀꽃/잎/줄기추출물(25 ppm), 마데카소사이드, 다시마추출물, 세라마이드엔피, 덱스트린, 귀리펩타이드, 세린, 트레오닌, 류신, 인삼추출물, 프롤린, 레시틴, 잔탄검, 아스파틱애씨드, 토코페롤, 아이소류신, 글라이신, 아스코빌팔미테이트, 다이소듐이디티에이, 페닐알라닌, 알라닌, 타이로신, 라이신, 하이드로제네이티드팜글리세라이즈시트레이트, 히스티딘, 발린, 메티오닌, 시스틴, 트립토판",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62553
퍼펙트 엉킴제로 노워시 트리트먼트 150ml,"8,900원",40%,4.6,150ml,"정제수, 다이에톡시에틸석시네이트, 스테아릴알코올, 스테아라미도프로필다이메틸아민, 다이메티콘, 글리세릴스테아레이트, 아모다이메티콘, 향료, 글리세릴올리에이트, 락틱애씨드, 트라이데세스-10, 소듐글루코네이트, 에틸헥실글리세린, 1,2-헥산다이올, 폴리쿼터늄-7, 리모넨, 리날룰, 시트릭애씨드, 해바라기씨오일, 시트로넬올, 제라니올, 하이드록시시트로넬알, 아르간커넬오일, 호호바씨오일, 코코넛야자오일, 토코페롤, 레시틴, 소듐벤조에이트, 덱스트린, 아스코빌팔미테이트, 인삼추출물, 하이드로제네이티드팜글리세라이즈시트레이트, 살구씨오일, 올리브오일, 동백나무씨오일, 마룰라씨오일, 글라이코리피드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20020
올뉴 샤이닝에센스 100g,"5,900원",34%,4.8,100g,"제 1제 : 정제수, 세틸에틸헥사노에이트, 피이지-8, 에탄올아민, 스테아릴알코올, 글리세릴스테아레이트, 세테스-40, 코코넛야자오일, P-페닐렌디아민, 베헤닐알코올, 폴리쿼터늄-6, 베헨트라이모늄클로라이드, 세틸에스터, 레조시놀, 향료, 다이프로필렌글라이콜, 소듐설파이트, 에리소빅애씨드, M-아미노페놀, P-아미노페놀, 테트라소듐이디티에이, 피이지-45스테아레이트, 4-아미노-2-하이드록시톨루엔, 염산2,4-디아미노페녹시에탄올, 동백나무씨오일, 리날룰, 리모넨, 아르간커넬오일, 잇꽃씨오일, 호호바씨오일, 프로판다이올, 1,2-헥산다이올, 병풀꽃/잎/줄기추출물, 에틸헥실글리세린, 글라이코리피드, 다이소듐이디티에이 / 제2제 : 정제수, 하이드로젠퍼옥사이드, 세테아릴알코올, 아이소프로필팔미테이트, 세테스-40, 글리세릴스테아레이트, 에티드로닉애씨드, 다이소듐포스페이트, 코카미도프로필베타인, 소듐스타네이트, 소듐클로라이드, 포스포릭애씨드, 소듐벤조에이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59159
퍼펙트 오리지널 세럼 컨디셔너 680ml,"8,900원",40%,4.7,680ml,"정제수, 글리세린, 다이프로필렌글라이콜, 세틸알코올, 스테아릴알코올, 다이메티콘, 베헨트라이모늄클로라이드, 아이소프로필알코올, 향료, 하이드록시에틸셀룰로오스, 에틸헥실글리세린, 다이소듐이디티에이, 황색4호, 황색5호, 토코페롤, 아르간커넬오일, 살구씨오일, 올리브오일, 호호바씨오일, 동백나무씨오일, 코코넛야자오일, 적색227호, 청색1호, 코코-카프릴레이트/카프레이트, 마룰라씨오일, 글라이코리피드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=16887
살롱10 프로페셔널 시카 프로틴 샴푸 480ml,"12,900원",14%,4.8,480ml,"정제수, 소듐C14-16올레핀설포네이트, 글리세린, 카프릴릴/카프릴글루코사이드, 다이소듐라우레스설포석시네이트, 말티톨, 코카미도프로필베타인, 라우릴하이드록시설테인, 다이소듐코코일글루타메이트, 수크로오스, 소듐코코일알라니네이트, 라우릴베타인, 향료, 폴리쿼터늄-10, 소듐클로라이드, 시트릭애씨드, 소듐살리실레이트, 세틸알코올, 멘톨, 카프릴릴글라이콜, 소듐시트레이트, 피피지-3카프릴릴에터, C10-18트라이글리세라이즈, 포도씨오일, 트라이하이드록시스테아린, 카프릴릭/카프릭트라이글리세라이드, 소듐메타포스페이트, 피브이피, 다이카프릴릴에터, 프로판다이올, 에틸헥실글리세린, 리날룰, 헥실신남알, 글리세릴스테아레이트, 구아하이드록시프로필트라이모늄클로라이드, 마카다미아씨오일, 소듐벤조에이트, 1,2-헥산다이올, 하이드롤라이즈드식물성단백질(100 ppm), 캐모마일꽃수, 데하이드로아세틱애씨드, 부틸렌글라이콜, 알지닌, 병풀꽃/잎/줄기추출물(25 ppm), 말레익애씨드, 덱스트린, 인삼추출물, 다이소듐이디티에이, 마데카소사이드, 세라마이드엔피, 토코페롤, 잔탄검, 다시마추출물, 귀리펩타이드, 세린, 글루타믹애씨드, 트레오닌, 류신, 프롤린, 아스파틱애씨드, 아이소류신, 글라이신, 페닐알라닌, 알라닌, 라이신, 타이로신, 변성알코올, 히스티딘, 피이지-150펜타에리스리틸테트라스테아레이트, 피피지-2하이드록시에틸코카마이드, 발린, 메티오닌, 시스틴, 트립토판",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66705
NEW 헬로버블 100g,"9,900원",38%,4.8,100g,"제 1제: 정제수, 변성알코올, 에탄올아민, 황산톨루엔-2,5-디아민, 폴리쿼터늄-6, N,N-비스(2-히드록시에틸)-p-페닐렌디아민설페이트, 레조시놀, 에리소빅애씨드, M-아미노페놀, 시스테인에이치씨엘, 염산2,4-디아미노페녹시에탄올, 트라이소듐에이치이디티에이 / 제 2제: 정제수, 하이드로젠퍼옥사이드, 세틸알코올, 미리스틸알코올, 에티드로닉애씨드, 스테아레스-21, 향료, 다이소듐포스페이트, 스테아트라이모늄클로라이드, 라우레스-2, 포스포릭애씨드, 아이소프로필알코올 / 제 3제: 정제수, 라우릴베타인, 변성알코올, 세트리모늄클로라이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62112
퍼펙트 매직 스트레이트 세럼 샴푸 530ml,"12,900원",14%,4.8,530ml,"정제수, 소듐라우레스설페이트, 코카미도프로필하이드록시설테인, 다이소듐라우레스설포석시네이트, 아이소펜틸다이올, 라우레스-6카복실릭애씨드, 카프릴릴/카프릴글루코사이드, 향료, 폴리쿼터늄-10, 피이지-60하이드로제네이티드캐스터오일, 카프릴릭/카프릭트라이글리세라이드, 석시닉애씨드, 소듐라우로일사코시네이트, 라우레스-2, 소듐벤조에이트, 소듐시트레이트, 피피지-3카프릴릴에터, 페녹시에탄올, 소듐메타포스페이트, 시트릭애씨드, 캐모마일꽃수, 리날룰, 벤질살리실레이트, 하이드록시시트로넬알, 리모넨, 카프릴릴글라이콜, 다이소듐이디티에이, 헥실신남알, 시트로넬올, 티타늄디옥사이드 (CI 77891), 프로판다이올, 테트라소듐이디티에이, 덱스트린, 1,2-헥산다이올, 아르간커넬오일, 실리카, 인삼추출물, 코코넛야자오일, 호호바씨오일, 틴옥사이드, 다시마추출물, 살구씨오일, 올리브오일, 동백나무씨오일, 에틸헥실글리세린, 마룰라씨오일, 귀리펩타이드, 알지닌, 세린, 글루타믹애씨드, 트레오닌, 류신, 프롤린, 아스파틱애씨드, 아이소류신, 글라이신, 페닐알라닌, 알라닌, 타이로신, 라이신, 히스티딘, 소듐클로라이드, 카나우바왁스, 말티톨, 피이지-150펜타에리스리틸테트라스테아레이트, 발린, 피피지-2하이드록시에틸코카마이드, 메티오닌, 글라이코리피드, 시스틴, 트립토판",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62759
