상품명,가격,할인율,평점,용량,전성분,URL
BEST 카밍 샷 아줄렌 흔적 수분 앰플 50ml,"17,000원",29%,4.8,50ml,"정제수, 글리세린, 나이아신아마이드(40,000ppm), 프로판다이올, 1,2-헥산다이올, 베타인, 실리카, 피피지-13-데실테트라데세스-24, 마트리카리아꽃수, 카프릴릭/카프릭트라이글리세라이드, 카보머, 아가, 트로메타민, 에틸헥실글리세린, 소듐메타포스페이트, 멘톡시프로판다이올, 부틸렌글라이콜, 구아이아줄렌(100ppm), 향료, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64181
4.8,"18,500원",31%,4.8,180ml,"정제수, 부틸렌글라이콜, 다이카프릴릴카보네이트, 글리세린, 메틸트라이메티콘, 나이아신아마이드, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 세테아릴알코올, 에탄올, 피씨에이다이메티콘, 글리세릴스테아레이트, 팔미틱애씨드, 스테아릭애씨드, 향료, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 카페인, 에틸헥실글리세린, 글리세릴카프릴레이트, 하이드로제네이티드레시틴, 하이드록시프로필스타치포스페이트, 소듐메타포스페이트, 아데노신, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 리모넨, 토코페롤, 리날룰, 솔비탄아이소스테아레이트, 폴리솔베이트60, 하이드록시시트로넬알, 알파-아이소메틸아이오논, 시트랄, 서양민들레뿌리줄기/뿌리추출물, 미리스틱애씨드, 라우릭애씨드, 녹차추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64186
세라마이드 아미노 폼 120g,"10,000원",37%,4.8,120g,"정제수, 글리세린, 포타슘코코일글리시네이트, 소듐라우로일글루타메이트, 글리세릴스테아레이트, 시트릭애씨드, 라우릴하이드록시설테인, 글라이콜다이스테아레이트, 소듐코코일글라이시네이트, 코코-글루코사이드, 폴리글리세릴-10라우레이트, 하이드록시프로필스타치포스페이트, 폴리쿼터늄-10, 글리세릴카프릴레이트, 테트라소듐이디티에이, 에틸헥실글리세린, 알지닌(100ppm), 아스파틱애씨드(100ppm), 글루타믹애씨드(100ppm), 피토스테롤, 세라마이드엔피(100ppm), 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60864
맨 리차징 로션 150ml,"14,000원",30%,4.8,150ml,"정제수, 부틸렌글라이콜, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리(C6-14올레핀), 다이메티콘, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 1,2-헥산다이올, 세테아릴알코올, 메틸트라이메티콘, 에탄올, 글리세릴스테아레이트, 피이지-100스테아레이트, 피이지-40스테아레이트, 실리카, 나이아신아마이드, 카보머, 향료, 다이메티콘/비닐다이메티콘크로스폴리머, 트로메타민, 카페인, 글리세릴카프릴레이트, 멘톡시프로판다이올, 소듐메타포스페이트, 에틸헥실글리세린, 리모넨, 리날룰, 토코페롤, 하이드록시시트로넬알, 알파-아이소메틸아이오논, 시트랄, 서양민들레뿌리줄기/뿌리추출물, 녹차추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64185
카밍 샷 아줄렌 앰플 마스크팩 23ml,"2,000원",20%,4.8,1매 / 23ml,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 마트리카리아꽃수, 카보머, 나이아신아마이드, 트로메타민, 폴리글리세릴-10라우레이트, 에틸헥실글리세린, 하이드록시에틸셀룰로오스, 잔탄검, 카프릴릭/카프릭트라이글리세라이드, 향료, 알란토인, 다이소듐이디티에이, 소듐하이알루로네이트, 하이드로제네이티드레시틴,폴리글리세릴-10올리에이트, 구아이아줄렌(10ppm), 베타-글루칸, 토코페롤, 마트리카리아꽃추출물, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62168
프로바이오틱스 세라마이드 스킨소프너 200ml,"15,500원",35%,4.7,200ml,"정제수, 글리세린, 다이프로필렌글라이콜, 프로판다이올, 1,2-헥산다이올, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 덱스트린, 폴리쿼터늄-51, 트로메타민, 락토바실러스발효물, 에틸헥실글리세린, 향료, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이소듐이디티에이, 아데노신, 소듐하이알루로네이트, 세라마이드엔피(111.2 ppm), 라피노오스, 소듐스테아로일글루타메이트, 무궁화나무껍질추출물, 하이드록시프로필비스라우라마이드엠이에이(10 ppm), 하이드록시프로필비스팔미타마이드엠이에이(10 ppm), 락토바실러스발효용해물(10 ppm), 동백나무씨오일, 녹차씨추출물, 검정콩오일, 토코페롤, 피토스핑고신, 카놀라오일, 로즈마리잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60886
플로라 글로우 로즈 앰플 마스크팩 23ml,"2,000원",20%,4.8,23ml,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 카보머, 트로메타민, 폴리글리세릴-10라우레이트, 에틸헥실글리세린, 소듐하이알루로네이트, 글리세릴카프릴레이트, 하이드록시에틸셀룰로오스, 잔탄검, 향료, 다이소듐이디티에이, 판테놀, 하이드롤라이즈드식물성단백질(7.5 ppm), 프로방스장미꽃추출물(5 ppm), 베타-글루칸, 병풀꽃/잎/줄기추출물, 토코페롤, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63076
맨 리차징 토너 180ml,"13,300원",30%,4.8,180ml,"정제수, 변성알코올, 부틸렌글라이콜, 1,2-헥산다이올, 피이지-60하이드로제네이티드캐스터오일, 에탄올, 베타인, 향료, 카페인, 에틸헥실글리세린, 리모넨, 소듐메타포스페이트, 리날룰, 하이드록시시트로넬알, 알파-아이소메틸아이오논, 시트랄, 토코페롤, 서양민들레뿌리줄기/뿌리추출물, 녹차추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64184
에이지 컨트롤 카멜리아 에멀젼 125ml,"25,900원",31%,4.9,125ml,"정제수, 부틸렌글라이콜, 세틸에틸헥사노에이트, 글리세린, 메틸트라이메티콘, 하이드로제네이티드폴리(C6-14올레핀), C14-22알코올, 1,2-헥산다이올, 폴리글리세릴-3다이스테아레이트, 글리세릴스테아레이트, 세테아릴알코올, 하이드로제네이티드식물성오일, C12-20알킬글루코사이드, 팔미틱애씨드, 동백나무씨오일(2000ppm), 스테아릭애씨드, 카보머, 향료, 트로메타민, 글리세릴카프릴레이트, 베타인, 카르노신(700ppm), 에틸헥실글리세린, 소듐메타포스페이트, 아데노신, 글리세릴스테아레이트시트레이트, 엑토인, 동백나무꽃추출물(98ppm), 덱스트린, 카카오추출물, 하이드롤라이즈드식물성단백질, 레시틴, 잔탄검, 아마씨추출물, 글루타티온(10ppm), 콩폴리펩타이드, 토코페롤, 카퍼트라이펩타이드-1, 연꽃추출물, 다이소듐이디티에이, 매실추출물, 시트릭애씨드, 락틱애씨드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62810
에이지 컨트롤 카멜리아 세럼 50ml,"32,800원",33%,4.8,50ml,"정제수, 부틸렌글라이콜, 글리세린, 변성알코올, 1,2-헥산다이올, 솔비톨, 베타인, 카프릴릭/카프릭트라이글리세라이드, 메틸글루세스-20, 다이메티콘, 나이아신아마이드, 프로판다이올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 말티톨, 글리세릴폴리메타크릴레이트, 에탄올, 하이드로제네이티드레시틴, 동백나무씨오일(2000ppm), 하이드로제네이티드포스파티딜콜린, 잔탄검, 향료, 콜레스테롤, 글리세릴카프릴레이트, 카르노신(700ppm), 에틸헥실글리세린, 아데노신, 베타-글루칸, 하이드롤라이즈드식물성단백질, 석류추출물, 엑토인, 동백나무꽃추출물(98ppm), 소듐메틸스테아로일타우레이트, 폴록사머235, 글루타티온(10ppm), 콩폴리펩타이드, 에피갈로카테킨갈레이트, 에톡시다이글라이콜, 토코페솔란, 폴록사머338, 카퍼트라이펩타이드-1, 토코페롤, 석류나무꽃추출물, 카프릴릴글라이콜, 다이소듐이디티에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=62811
