상품명,가격,할인율,평점,용량,전성분,URL
홀리추얼 뉴트리 엘릭서 미스트 홀리데이 기획 세트,"52,200원",10%,,[뉴트리 엘릭서 미스트] 140ml [시그니처 센티드 핸드크림] 30ml,"[홀리추얼 뉴트리 엘릭서 미스트] 정제수, 글리세린, 프로판다이올, 메틸프로판다이올, 나이아신아마이드, 다이페닐다이메티콘, 1,2-헥산다이올, 베타인, 트라이에틸헥사노인, C12-14알케스-12, 폴리글리세릴-10 올리에이트, 하이드로제네이티드레시틴, 폴리글리세린-3, 트레할로오스, 에틸헥실글리세린, 아데노신, 향료, 판테놀, 베타-글루칸, 리날룰, 리모넨, 말토덱스트린, 하이드롤라이즈드아카시아마크로스타키아씨 추출물, 부틸렌글라이콜, 카카두플럼추출물, 연꽃추출물, 커먼자스민꽃추출물, 마돈나백합비늘줄기추출물, 프리지어추출물, 나팔수선화추출물, 에델바이스추출물, 다마스크장미꽃추출물 [홀리추얼 시그니처 센티드 핸드크림] 정제수, 부틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 글리 세린, 세틸에틸헥사노에이트, 펜타에리스리틸테트라에틸헥사노에이트, 시어버터, 글리세릴스테아레이트시 트레이트, 나이아신아마이드, 세테아릴알코올, 1,2-헥산다이올, 폴리글리세릴-3메틸글루코오스다이스테 아레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 하이드록시프로필스 타치포스페이트, 카프릴릴글라이콜, 향료, 리모넨, 에틸헥실글리세린, 리날룰, 아데노신, 소듐메타포스페이 트, 솔비탄아이소스테아레이트, 폴리솔베이트60, 제라니올, 스쿠알란, 아르간커넬오일, 호호바씨오일, 펜틸 렌글라이콜, 커먼자스민꽃추출물, 시트로넬올, 시트랄, 비터오렌지꽃추출물, 토코페롤, 마돈나백합꽃추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67603
홀리추얼 [아세페ONLY] 릴랙스드 풋 트리트먼트 크림 듀오 SET,"58,100원",17%,,130ml*2,"정제수, 우레아, 부틸렌글라이콜, 피마자씨오일, 글리세린, 변성알코올, 세테아릴알코올, 하이드로제네이티드폴리아이소부텐, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 글리세릴스테아레이트, 소듐락테이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 피이지-100스테아레이트, 베타인, 1,2-헥산다이올, 하이드로제네이티드캐스터오일, 폴리아크릴레이트-13, 락틱애씨드, 비즈왁스, 폴리아이소부텐, 향료, 리모넨, 카나우바왁스, 리날룰, 카페인, 세테아릴글루코사이드, 알란토인, 글리세릴카프릴레이트, 소듐메타포스페이트, 에틸헥실글리세린, 폴리솔베이트20, 솔비탄아이소스테아레이트, 페퍼민트오일, 제라니올, 흰버드나무껍질추출물, 시트릭애씨드, 글루코노락톤, 해바라기씨오일, 시트로넬올, 시트랄, 프로판다이올, 자일리톨, 삼나무잎추출물, 녹나무잎추출물, 로얄젤리추출물, 토코페롤, 프로폴리스추출물, 은행나무잎추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67391
홀리추얼 [아세페ONLY] 리디파이닝 클렌징 밀크 듀오 SET,"76,360원",17%,,200ml *2,"정제수, 글리세린, C18-21알케인, 데실코코에이트, 카프릴릭/카프릭트라이글리세라이드, 아이소도데케인, 라우릴글루코사이드, 해바라기씨오일, 1,2-헥산다이올, 하이드레이티드실리카, 폴리글리세릴-6라우레이트, C14-22알코올, 솔비탄세스퀴올리에이트, 미리스틸글루코사이드, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C12-20알킬글루코사이드, 잔탄검, 향료, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 벤질살리실레이트, 에틸헥실글리세린, 시트릭애씨드, 리날룰, 유제놀, 쌀겨오일, 글루타티온, 프로판다이올, 소듐하이알루로네이트, 토코페롤, 카프릴릴글라이콜, 하이드롤라이즈드하이알루로닉애씨드, 아세틸헵타펩타이드-4, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 아세틸헥사펩타이드-8, 소듐하이드록사이드, 소듐아세틸레이티드하이알루로네이트, 아세틸옥타펩타이드-3",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67389
홀리추얼 [아세페ONLY] 코어 리프트 액티베이팅 세럼 기획세트 140ml,"92,400원",12%,,140ml,"정제수, 프로판다이올, 글리세린, 폴리글리세린-3, 글리세릴폴리메타크릴레이트, 1,2-헥산다이올, 피이지-8, 피이지-7글리세릴코코에이트, 폴리솔베이트20, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 트로메타민, 글리세릴카프릴레이트, 만니톨, 하이드롤라이즈드콜라겐, 에틸헥실글리세린, 아데노신, 부틸렌글라이콜, 향료, 리모넨, 다이소듐이디티에이, 리날룰, 솔비탄아이소스테아레이트, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 금, 제라니올, 흑효모발효물, 레스베라트롤, 마그네슘설페이트, 칼슘클로라이드, 아세틸테트라펩타이드-11, 망가니즈설페이트, 토코페롤, 퀴노아씨추출물, 징크설페이트, 아스코빌글루코사이드",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67386
홀리추얼 울트라 너리싱 어드밴스드 토너 150ml,"70,200원",10%,4.7,150ml,"정제수, 글리세린, 프로판다이올, 스쿠알란, 나이아신아마이드, 1,2-헥산다이올, 피이지/피피지-17/6코폴리머, 펜타에리스리틸테트라에틸헥사노에이트, 글리세레스-26, 알지닌, 아스파틱애씨드, 글루타믹애씨드, 엑토인, 서양톱풀추출물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 사프란암술머리추출물, 베타인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 에틸헥실글리세린, 트로메타민, 글리세릴카프릴레이트, 아데노신, 향료, 펜틸렌글라이콜, 소듐메타포스페이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 바이오사카라이드검-1, 잔탄검, 솔비탄아이소스테아레이트, 폴리솔베이트60, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66971
홀리추얼 [한정판매] 뉴트리 엘릭서 바디 프라그랑스 미스트 100ml,"55,100원",5%,4.7,부족했어요,"변성알코올, 정제수, 향료, 프로판다이올, 글리세린, 피이지-40하이드로제네이티드캐스터오일, 리날룰, 리모넨, 아데노신, 하이드록시시트로넬알, 시트랄, 제라니올, 시트로넬올, 부틸렌글라이콜, 1,2-헥산다이올, 콜라겐, 하이드롤라이즈드콜라겐",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66671
홀리추얼 프로 리프팅 앤 퍼밍 프로그램 (8회분),"150,000원",,4.8,1제) 파우더 2g*8ea + 액티베이터 .2ml*8ea 2제) 세럼 80ml,"[퍼밍 파우더] 알부민, 옥수수전분, 벤토나이트, 말토덱스트린, 시트 릭애씨드, 사이클로덱스트린, 녹차가루, 보리잎가루, 베타인, 알란토인, 다이포타슘글리시리제이트, 레틴알 [리프팅 액티베이터] 정제수, 글리세린, 1,2-헥산다이올, 피이지-60 하이드로제네이티드캐스터오일, 판테놀, 베타인, 마카다미아씨오일, 에틸헥실글리세린, 아데노신, 부틸렌글라이콜, 알란토인, 다이포타슘 글리시리제이트, 다이소듐이디티에이, 향료, 리모넨, 달팽이점액여 과물, 리날룰, 베타-글루칸, 토코페롤 [하이드로 볼륨 부스터] 정제수, 부틸렌글라이콜, 글리세린, 메틸트라 이메티콘, 펜타에리스리틸테트라에틸헥사노에이트, 베타인, 1,2-헥산 다이올, 베헤닐알코올, 판테놀, 메도우폼씨오일, 호호바에스터, 하이 드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아크릴레이트/ C10-30알킬아크릴레이트크로스폴리머, 트로메타민. 잔탄검, 글리 세릴카프릴레이트, 향료, 리모넨, 소듐메타포스페이트, 에틸헥실글리 세린, 아데노신, 리날룰, 솔비탄아이소스테아레이트, 제라니올, 만니톨, 트레할로오스, 시트로넬올, 시트랄, 프로판다이올, 토코페롤, 소듐하 이알루로네이트, 하이알루로닉애씨드, 아크릴레이트/스테아릴메타크 릴레이트코폴리머, 하이드롤라이즈드하이알루로닉애씨드, 흰목이버섯 포자낭과추출물, 소듐하이알루로네이트크로스폴리머, 다이소듐이디 티에이, 세라마이드엔피, 소듐아세틸레이티드하이알루로네이트, 벼에 스에이치-올리고펩타이드-1",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64297
홀리추얼 리디파이닝 앰플 4주 프로그램 (5ml*20ea),"266,000원",5%,4.8,더 보기,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 스쿠알란, 글리세릴폴리메타크릴레이트, 세테아릴알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세릴스테아레이트, 잔탄검, 하이드로제네이티드레시틴, 에틸헥실글리세린, 스테아릭애씨드, 향료, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 아데노신, 팔미틱애씨드, 리모넨, 토코페롤, 리날룰, 다이소듐이디티에이, 알란토인, 3-O-에틸아스코빅애씨드, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 덱스트린, 카카오추출물, 제라니올, 커먼자스민꽃추출물, 흑효모발효물, 레스베라트롤, 프로판다이올, 글루타티온, 미리스틱애씨드, 라우릭애씨드, 소듐하이알루로네이트, 모란꽃추출물, 카프릴릴글라이콜, 하이드롤라이즈드하이알루로닉애씨드, 아세틸헵타펩타이드-4, 페녹시에탄올, 소듐하이알루로네이트크로스폴리머, 마돈나백합꽃추출물, 하이알루로닉애씨드, 아세틸헥사펩타이드-8, 소듐하이드록사이드, 하이드롤라이즈드콜라겐, 소듐아세틸레이티드하이알루로네이트, 아세틸옥타펩타이드-3",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=63393
홀리추얼 클린테라피 파우더 마스크 (8입),"100,000원",20%,4.9,10mL*8 + 5g*8,"[1제 액티베이터] 정제수, 프로판다이올, 글리세린, 1,2-헥산다이올, 황해쑥잎추출물, 에틸헥실글리세린, 부틸렌글라이콜, 다이소듐이디티에이, 흑효모발효물, 미역추출물 [2제 파우더] 밀가루,살구씨가루,알부민,율무씨가루,쑥잎추출물,녹두가루,스페인감초뿌리가루,카올린,감자전분,구릿대뿌리가루,자란뿌리가루,음나무껍질추출물,백선뿌리추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=61714
홀리추얼 파워 리뉴얼 키트 (히알루로닉 볼륨 부스터+링클 리설페이싱 코렉터),"119,000원",15%,4.8,더 보기,"[Step1. 히알루로닉 볼륨 부스터] 정제수, 글리세린, 부틸렌글라이콜, 변성알코올, 1,2-헥산다이올, 트레할로오스, 베타인, 프로판다이올, 피피지-13-데실테트라데세스-24, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 트로메타민, 에틸헥실글리세린, 폴리쿼터늄-51, 아데노신, 베타-글루칸, 향료, 다이소듐이디티에이, 하이드롤라이즈드콜라겐, 리모넨, 리날룰, 흑효모발효물, 제라니올, 토코페롤, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트 [Step2. 링클 리설페이싱 코렉터] 정제수, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 글리세린, 다이메티콘, 토코페롤, 토코페릴아세테이트, 트레할로오스, 판테놀, 시어버터, 돌콩오일, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세릴폴리메타크릴레이트, 해바라기씨오일, 폴리실리콘-11, 하이드로제네이티드레시틴, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-10스테아레이트, 쌀겨왁스, 세테아릴알코올, 카보머, 소듐설파이트, 당근추출물, 트로메타민, 레티놀, 알란토인, 글리세릴카프릴레이트, 향료, 글리세릴스테아레이트, 리모넨, 다이소듐이디티에이, 에틸헥실글리세린, 리날룰, 스테아릭애씨드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 솔비탄아이소스테아레이트, 비에이치티, 제라니올, 베타-카로틴, 부틸렌글라이콜, 시트로넬올, 시트랄, 메틸메타크릴레이트/아크릴로나이트릴코폴리머, 미리스틱애씨드, 라우릭애씨드, 1,2-헥산다이올, 레스베라트롤, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 흰목이버섯포자낭과추출물, 하이알루로닉애씨드, 아스코빅애씨드, 메도우폼씨오일, 잔탄검, 에칠아스코빌에텔, 글루타티온, 소듐하이알루로네이트, 세라마이드엔피, 피씨에이, 락틱애씨드, 글루코오스, 글라이신, 우레아, 소듐글리세로포스페이트, 세린, 글루타믹애씨드, 하이드롤라이즈드하이알루로닉애씨드, 포타슘마그네슘아스파테이트, 아스파틱애씨드, 류신, 소듐클로라이드, 알라닌, 알지닌, 칼슘글루코네이트, 라이신, 마그네슘글루코네이트, 소듐하이알루로네이트크로스폴리머, 아세틸글루코사민, 프롤린, 트레오닌, 시트릭애씨드, 히스티딘, 페닐알라닌, 타이로신, 발린, 아이소류신, 크레아틴, 우릭애씨드, 시스테인, 메티오닌, 소듐아세틸레이티드하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=48594
홀리추얼 울트라 너리싱 어드밴스드 토너 + 에멀전,"140,800원",12%,4.9,[울트라 너리싱 어드밴스드 토너] 150ml [울트라 너리싱 어드밴스드 에멀전] 120ml,"[울트라 너리싱 어드밴스드 토너] 정제수, 글리세린, 프로판다이올, 스쿠알란, 나이아신아마이드, 1,2-헥산다이올, 피이지/피피지-17/6코폴리머, 펜타에리스리틸테트라에틸헥사노에이트, 글리세레스-26, 알지닌, 아스파틱애씨드, 글루타믹애씨드, 엑토인, 서양톱풀추출물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 사프란암술머리추출물, 베타인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 에틸헥실글리세린, 트로메타민, 글리세릴카프릴레이트, 아데노신, 향료, 펜틸렌글라이콜, 소듐메타포스페이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 바이오사카라이드검-1, 잔탄검, 솔비탄아이소스테아레이트, 폴리솔베이트60, 토코페롤 [울트라 너리싱 어드밴스드 에멀전] 정제수, 프로판다이올, 하이드로제네이티드폴리아이소부텐, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 다이메티콘, 다이아이소스테아릴말레이트, 나이아신아마이드, 폴리글리세린-3, 1,2-헥산다이올, 피이지-60글리세릴아이소스테아레이트, 세테아릴알코올, 알지닌, 아스파틱애씨드, 글루타믹애씨드, 엑토인, 서양톱풀추출물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 사프란암술머리추출물, 다이메티콘/비닐다이메티콘크로스폴리머, 시어버터, 세테아릴글루코사이드, 글리세릴스테아레이트시트레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 팔미틱애씨드, 스테아릭애씨드, 베헤닐알코올, 카보머, 부틸렌글라이콜, 에틸헥실글리세린, 글리세릴카프릴레이트, 트로메타민, 향료, 아데노신, 다이메티콘올, 펜틸렌글라이콜, 소듐메타포스페이트, 솔비탄아이소스테아레이트, 폴리솔베이트60, 잔탄검, 알파-아이소메틸아이오논, 시트로넬올, 리날룰, 토코페롤, 서양유채씨오일",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=67250
