상품명,가격,할인율,평점,용량,전성분,URL
달빛유자 패드 60매,"17,900원",38%,4.8,60매 (105ml),"정제수, 부틸렌글라이콜, 나이아신아마이드, 1,2-헥산다이올, 프로판다이올, 폴리글리세릴-10라우레이트, 에틸헥실글리세린, 3-O-에틸아스코빅애씨드, 아데노신, 치자추출물, 잔탄검, 말토덱스트린, 리모넨, 시트릭애씨드, 폴리쿼터늄-51, 유자껍질오일, 덱스트린, 소듐파이테이트, 글루코실헤스페리딘, 락토바실러스발효물, 바이오플라보노이드, 리날룰, 아스코빅애씨드, 트라넥사믹애씨드, 흰소나무껍질추출물, 토코페롤, 유자껍질추출물, 글루타티온",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60766
백화고 클렌징 마사지 크림 200ml,"31,080원",26%,4.8,200ml,"정제수, 세틸에틸헥사노에이트, 펜타에리스리틸테트라아이소스테아레이트, 아이소프로필팔미테이트, 다이프로필렌글라이콜, 펜타에리스리틸테트라에틸헥사노에이트, C9-12알케인, 1,2-헥산다이올, 폴리솔베이트60, 글리세릴스테아레이트에스이, 세테아릴알코올, 솔비탄스테아레이트, 향료, 글리세릴스테아레이트, 코코-카프릴레이트/카프레이트, 카보머, 팔미틱애씨드, 트로메타민, 스테아릭애씨드, 에틸헥실글리세린, 리날룰, 아데노신, 소듐메타포스페이트, 부틸렌글라이콜, 티몰트라이메톡시신나메이트, 나이아신아마이드, 3-O-에틸아스코빅애씨드, 글라이코리피드, 트라넥사믹애씨드, 락토바실러스발효물, 글루타티온, 표고버섯추출물, 토코페롤",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=34892
어린쑥 속수분 쑥히알 패드 기획세트 (60매+10매),"17,900원",38%,4.8,60매 + 10매,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 쑥잎수(10,780 ppm), 황해쑥잎수(10,554 ppm), 폴리글리세린-3, 에리 스리톨, 폴리글리세릴-10라우레이트, 하이드록시에틸우레아, 잔탄검, 에틸헥실글리세린, 소듐파이테이트, 향료, 알지 닌, 아스파틱 애씨드, 글루타믹애씨드, 하이알루로닉애씨드(100 ppm), 알란토인, 이노시톨, 소듐시트레이트, 폴리글루타믹애씨드, 락토바실러스 발효물, 시트릭애씨드, 말토덱스트린, 하이드롤라이즈드치자추출물, 병풀추출물, 프로필렌글라이콜, 소듐하이알루로네이트(1.5 ppm), 소듐디엔에이",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66329
송담 탄력 에멀젼 125ml,"34,000원",15%,4.8,125ml,"정제수, 부틸렌글라이콜, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 하이드로제네이티드폴리아이소부텐, 다이메티콘, 다이아이소스테아릴말레이트, 나이아신아마이드, 피이지-60글리세릴아이소스테아레이트, 1,2-헥산다이올, 비스-하이드록시에톡시프로필다이메티콘, C14-22알코올, 송이버섯추출물, 스테아릭애씨드, 글리세릴스테아레이트, 사이클로펜타실록세인, 인삼수, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 팔미틱애씨드, 아라키딜알코올, C12-20알킬글루코사이드, 향료, 에탄올, 폴리실리콘-11, 카보머, 베헤닐알코올, 글리세릴카프릴레이트, 트로메타민, 아라키딜글루코사이드, 폴리아크릴레이트-13, 다이소듐이디티에이, 에틸헥실글리세린, 소듐폴리아크릴레이트, 천궁수, 왜당귀뿌리수, 아데노신, 덱스트린, 카카오추출물, 폴리아이소부텐, 솔비탄아이소스테아레이트, 폴리솔베이트60, 리날룰, 리모넨, 폴리솔베이트20, 글루코오스, 헥실신남알, 제라니올, 아크릴레이트/암모늄메타크릴레이트코폴리머, 폴리카프로락톤, 소나무잎추출물, 폴리글리세릴-10라우레이트, 토코페롤, 표고버섯추출물, 작약뿌리추출물, 생강추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=40256
송담 탄력 스킨 150ml,"29,750원",15%,4.7,150ml,"정제수, 프로판다이올, 변성알코올, 글리세린, 베타인, 나이아신아마이드, 폴리글리세린-3, 부틸렌글라이콜, 1,2-헥산다이올, 송이버섯추출물, 인삼수, 피피지-13-데실테트라데세스-24, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 에탄올, 트로메타민, 에틸헥실글리세린, 천궁수, 왜당귀뿌리수, 향료, 아데노신, 다이소듐이디티에이, 덱스트린, 카카오추출물, 베타-글루칸, 리날룰, 리모넨, 아크릴레이트/암모늄메타크릴레이트코폴리머, 폴리카프로락톤, 소나무잎추출물, 폴리글리세릴-10라우레이트, 표고버섯추출물, 토코페롤, 작약뿌리추출물, 생강추출물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=40255
빨간쌀 보습탄력 크림 55ml,"34,300원",30%,4.9,55ml,"정제수, 부틸렌글라이콜, 세틸에틸헥사노에이트, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 나이아신아마이드, C14-22알코올, 1,2-헥산다이올, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 세테아릴알코올, 아라키딜알코올, 베헤닐알코올, 팔미틱애씨드, 스테아릭애씨드, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C12-20알킬글루코사이드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아라키딜글루코사이드, 콜레스테롤, 하이드록시프로필비스라우라마이드엠이에이, 하이드록시프로필비스팔미타마이드엠이에이, 쌀발효여과물, 세라마이드엔피, 향료, 카프릴릴글라이콜, 트로메타민, 에틸헥실글리세린, 아데노신, 솔비탄아이소스테아레이트, 다이소듐이디티에이, 락토바실러스발효물, 덱스트린, 카카오추출물, 하이드롤라이즈드익스텐신, 호호바씨오일, 폴리글리세릴-10라우레이트, 합성왁스, 하이드로제네이티드레시틴, 식물성스쿠알란, 토코페롤, 판테놀, 폴리글리세릴-10스테아레이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59289
보들은행잎 모공탄탄 펩타이드 패드 60매,"17,900원",38%,4.6,60매+10매/117ml,"정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 나이아신아마이드, 1,2-헥산다이올, 아이소펜틸다이올, 카프릴로일 살리실릭애씨드, 폴리글리세릴-10라우레이트, 폴리글리세릴-10미리스테이트, 트로메타민, 에틸헥실글리세린, 글루코노락톤, 아데노신, 글리세린, 향료, 소듐파이테이트, 사카라이드아이소머레이트, 카프릴릴글라이콜, 락토바실러스발효물, 드럼스틱 씨추출물, 은행나무잎추출물(40ppm), 글라이콜릭애씨드, 카페인, 시트릭애씨드, 아세틸테트라펩타이드-2(0.45ppm), 소듐하이알루로네이트, 글라이신, 알라닌, 알지닌, 아스파틱애씨드, 프롤린, 세린, 글루타믹애씨드, 타우린, 히스티딘, 페닐 알라닌, 류신, 발린, 메티오닌, 아이소류신, 오르니틴",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=65830
어린쑥 수분진정 선크림 SPF50+/PA++++ 50ml,"18,900원",30%,4.8,50ml,"정제수, 다이부틸아디페이트, 부틸옥틸살리실레이트, 폴리메틸실세스퀴옥세인, 디에칠아미노하이드록시벤조일헥실벤조에이트, 에칠헥실트리아존, 메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 나이아신아마이드, 황해쑥잎수, 카프릴릴메티콘, 디에칠헥실부타미도트리아존, 1,2-헥산다이올, 글리세린, 프로판다이올, 펜틸렌글라이콜, 베헤닐알코올, 폴리C10-30알킬아크릴레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 데실글루코사이드, 부틸렌글라이콜, 트로메타민, 향료, 카보머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 2,3-부탄다이올, 소듐스테아로일글루타메이트, 폴리아크릴레이트크로스폴리머-6, 에틸헥실글리세린, 아데노신, 잔탄검, 레시틴, 락토바실러스발효물, 이눌린라우릴카바메이트, 황해쑥잎추출물, 다이소듐이디티에이, 병풀꽃/잎/줄기추출물, 토코페롤, 소듐하이알루로네이트",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58749
극진 2종 기획 세트 (125ml+125ml),"127,100원",18%,4.9,[본품] [극진 스킨] 125ml [극진 에멀젼] 125ml [증정] 극진 스킨 25ml 극진 에멀젼 25ml 극진 에센스 7ml 극진 아이크림 5ml 극진 크림 8ml,"[한율 극진 스킨] 정제수, 글리세린, 글리세레스-26, 부틸렌글라이콜, 변성알코올, 글리세릴폴리메타크릴레이트, 나이아신아마이드, 비스-피이지-18메틸에터다이메틸실레인, 1,2-헥산다이올, 인삼수, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 카프릴릭/카프릭트라이글리세라이드, 베헤닐알코올, 카보머, 폴리글리세릴-10펜타스테아레이트, 글리세릴카프릴레이트, 세테아릴알코올, 향료, 트로메타민, 에틸헥실글리세린, 소듐메타포스페이트, 아데노신, 소듐스테아로일락틸레이트, 세테아릴글루코사이드, 셀룰로오스검, 프로판다이올, 솔비탄아이소스테아레이트, 폴리솔베이트60, 하이드로제네이티드레시틴, 락토바실러스발효물, 카프릴릴글라이콜, 피토스핑고신, 하이드롤라이즈드인삼사포닌, 소듐폴리아스파테이트, 인삼추출물, 토코페롤, 인삼씨오일, 소듐메틸스테아로일타우레이트, 인삼가루, 아스퍼질러스발효물 / [한율 극진 에멀젼] 정제수, 부틸렌글라이콜, 글리세린, 하이드로제네이티드폴리(C6-14올레핀), 다이카프릴릴에터, 다이메티콘, 나이아신아마이드, 옥틸도데실미리스테이트, 시어버터, 1,2-헥산다이올, C14-22알코올, 인삼수, 폴리글리세릴-3다이스테아레이트, 프로판다이올, 글리세릴스테아레이트, 세테아릴알코올, 팔미틱애씨드, C12-20알킬글루코사이드, 스테아릭애씨드, 향료, 카보머, 글리세릴카프릴레이트, 트로메타민, 에틸헥실글리세린, 소듐메타포스페이트, 아데노신, 글리세릴스테아레이트시트레이트, 베타-글루칸, 하이드로제네이티드레시틴, 덱스트린, 카카오추출물, 락토바실러스발효물, 토코페롤, 피토스핑고신, 하이드롤라이즈드인삼사포닌, 소듐폴리아스파테이트, 인삼추출물, 인삼씨오일, 소듐메틸스테아로일타우레이트, 인삼가루, 아스퍼질러스발효물",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=20611
어린쑥 속수분 쑥히알 크림 기획세트 (60ml+31ml),"16,800원",30%,4.8,60ml + 31ml,"정제수, 부틸렌글라이콜, 글리세린, 메틸트라이메티콘, 1,2-헥산다이올, 황해쑥잎수(10,554 ppm), 베타인, 피씨 에이다이메티콘, 아이소펜틸다이올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 실리카다이메틸실릴레이트, 트로메타민, 카보머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴카프릴레이트, 에틸헥실글리세린, 향료, 소듐메타포스페이트, 알지닌, 아스파틱애씨드, 글루타믹애씨드, 하이알루로닉애씨드(100 ppm), 이노시톨, 락토바실러스 발효물, 말토덱스트린, 하이드롤라이즈드치자추출물, 프로필렌글라이콜, 소듐하이알루로네이트(1.5 ppm)",https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66331
