name,sale_price,orig_price,all_prices,raw_text,url
[12/5 하루특가] 존슨즈 베드타임/핑크로션/오일 2P 케어베어 기획팩,"9,900","20,900","9,900 / 20,900","[12/5 하루특가] 존슨즈 베드타임/핑크로션/오일 2P 케어베어 기획팩 9,900원~20,900원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232192&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=17
[12/5 하루특가][파격특가] 정관장 에브리타임 맥스/에너지 활기력 샷 (10일분),"9,900","35,000","9,900 / 35,000","[12/5 하루특가][파격특가] 정관장 에브리타임 맥스/에너지 활기력 샷 (10일분) 9,900원~35,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210580&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18
"[12/5 하루특가]라운드어라운드 편백 클린 스프레이 90ml,160ml,리필기획","6,900","10,900","6,900 / 10,900","[12/5 하루특가]라운드어라운드 편백 클린 스프레이 90ml,160ml,리필기획 6,900원~10,900원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170807&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=19
[12/5 하루특가][밀착특허기술] 리무브 스킨브라 14종 택1,"18,700","40,000","18,700 / 40,000","[12/5 하루특가][밀착특허기술] 리무브 스킨브라 14종 택1 18,700원~40,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144547&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=20
[12/5 하루특가/올인원 1등] 아이디얼포맨 올인원 3종 (프레시/시카/선),"8,500","26,000","8,500 / 26,000","[12/5 하루특가/올인원 1등] 아이디얼포맨 올인원 3종 (프레시/시카/선) 8,500원~26,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223196&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=21
라이브오랄스 퓨어다이아 치아미백제(2주분) 기획 / 단품,"23,800","32,500","23,800 / 32,500","라이브오랄스 퓨어다이아 치아미백제(2주분) 기획 / 단품 23,800원~32,500원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000241233&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=22
[단독기획] 메디힐 PDRN 모공 탄력 패드 100+100매 더블기획,"27,400","39,900","27,400 / 39,900","[단독기획] 메디힐 PDRN 모공 탄력 패드 100+100매 더블기획 27,400원39,900원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226454&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=23
[어워즈특가] 포뷰트 텍스처 쉐이크 스프레이 100ml 어워즈 한정기획 (+볼륨핀처 M),"15,800","24,000","15,800 / 24,000","[어워즈특가] 포뷰트 텍스처 쉐이크 스프레이 100ml 어워즈 한정기획 (+볼륨핀처 M) 15,800원~24,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238758&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=24
[12/5 하루특가] 딜라이트 프로젝트 초콜릿 스낵 4종 택1 (저당 프레첼&빨미까레),"1,600","2,000","1,600 / 2,000","[12/5 하루특가] 딜라이트 프로젝트 초콜릿 스낵 4종 택1 (저당 프레첼&빨미까레) 1,600원~2,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212572&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=25
[12/5 하루특가] 사봉 바디스크럽/홀리데이 키트/웰컴키트 외 택 1,"26,700","36,000","26,700 / 36,000","[12/5 하루특가] 사봉 바디스크럽/홀리데이 키트/웰컴키트 외 택 1 26,700원~36,000원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227552&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=26
[12/5 하루특가][올리브영단독] 크로우캐년 샐러드플레이트+머그세트 12종,"29,900","40,000","29,900 / 40,000","[12/5 하루특가][올리브영단독] 크로우캐년 샐러드플레이트+머그세트 12종 29,900원~40,000원 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000241219&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=27
[12/5 하루특가/NEW]코자아 오리지널 드링크 100ml*6개입,"27,800","35,800","27,800 / 35,800","[12/5 하루특가/NEW]코자아 오리지널 드링크 100ml*6개입 27,800원35,800원오늘드림 세일 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229525&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=28
[김재원PICK] 아디다스 EDP 30ml기획/30ml/50ml/100ml 6종 택 1,"19,800","22,000","19,800 / 22,000","[김재원PICK] 아디다스 EDP 30ml기획/30ml/50ml/100ml 6종 택 1 19,800원~22,000원오늘드림 쿠폰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230142&dispCatNo=90000010002&trackingCd=Today&t_page=%EC%98%A4%ED%8A%B9&t_click=%EC%98%A4%EB%8A%98%EC%9D%98%ED%8A%B9%EA%B0%80_%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=29
