name,price,orig_price,url
"딜라이트 프로젝트
딜라이트 프로젝트 베이글칩 모음전","2,500원 ~","2,700원 ~",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219361&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13
"구달
[2025 어워즈] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 어워즈기획 (+세럼50ml+크림10ml+겔마스크1매)","28,400원","46,000원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238527&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=14
"달바
[어워즈특가] 달바 퍼스트 스프레이 세럼 100ml 어워즈 한정기획 (+100ml+50ml)","39,900원","69,700원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238781&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=15
"라보에이치
[어워즈특가] 라보에이치 두피강화클리닉 샴푸 750ML 어워즈 한정기획 (+샴푸 120ML*2)","24,900원 ~","36,000원 ~",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000239974&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=16
"정샘물
[어워즈특가] 정샘물 에센셜 스킨 누더 쿠션(어워즈기획/본품+리필)","35,800원 ~","45,000원 ~",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139063&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=17
"제로이드
[어워즈특가] 제로이드 인텐시브 크림 80ml 어워즈 한정기획 (+크림 25ml+ 베스트 3종 샘플 6매)","24,480원","32,000원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238521&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18
"라운드랩
[12/5 하루특가] 라운드랩 자작나무 수분 선크림 50ml 1+1 어워즈 한정기획","23,400원","25,000원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238485&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=19
"달바
[어워즈특가]달바 핑크 톤업 선크림 50ml+50ml 어워즈 한정기획 (+핑크 선크림 20ml)","32,900원","51,000원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238905&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=20
"비플레인
[어워즈특가] 비플레인 녹두 약산성 클렌징폼 160ml 더블 어워즈 한정기획(+오일 20ml+밀크밤 3ml*2ea)","23,900원","26,000원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238425&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=21
"달바
[어워즈특가] 달바 퍼플 톤업 선크림 50ml+50ml 어워즈 한정기획 (+퍼플 선크림 20ml)","32,900원","51,000원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238904&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=22
"크리니크
크리니크 치크 팝 브러쉬 증정 기획/단품","25,500원 ~","36,000원 ~",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158991&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=23
"바이오던스
[어워즈특가] 바이오던스 바이오 콜라겐 리얼 딥 마스크 7매 어워즈 기획 (+콜라겐 마스크 1매+콜라겐 겔 토너 패드","28,400원","35,000원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000239689&dispCatNo=90000010009&trackingCd=Sale_Pop&t_page=%EC%84%B8%EC%9D%BC&t_click=%EC%9D%B8%EA%B8%B0%EC%88%9C_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=24
