"양구군",10382,10405,10412,10403
"인제군",16565,16575,16604,16586
"고성군",15306,15322,15324,15314
"양양군",14910,14930,14913,14920
"충청북도",794160,794981,795498,796183
"청주시",408498,408963,409351,409538
"상당구",89657,89541,89381,89305
"서원구",88384,88554,89174,89484
"흥덕구",139421,139819,139911,139942
"청원구",91036,91049,90885,90807
"충주시",104495,104605,104568,104563
"제천시",66215,66274,66299,66399
"보은군",16798,16798,16791,16793
"옥천군",25741,25749,25748,25801
"영동군",23609,23606,23591,23568
"증평군",19103,19093,19097,19119
"진천군",42796,42901,43013,42985
"괴산군",21302,21253,21245,21232
"음성군",50365,50495,50546,50933
"단양군",15238,15244,15249,15252
"충청남도",1060583,1061546,1061879,1062153
"천안시",316853,317455,317655,317851
"동남구",126825,127372,127465,127627
"서북구",190028,190083,190190,190224
"공주시",53767,53822,53805,53785
"보령시",49009,49001,48989,48913
"아산시",167528,167749,167941,168041
"서산시",84213,84273,84234,84205
"논산시",57217,57124,57077,57039
"계룡시",19550,19554,19536,19528
"당진시",85944,86020,86099,86081
"금산군",26682,26678,26653,26643
"부여군",32227,32214,32139,32125
"서천군",26245,26184,26170,26132
"청양군",16583,16571,16640,16834
"홍성군",50135,50228,50277,50354
"예산군",41201,41243,41239,41221
"태안군",33429,33430,33425,33401
"전북특별자치도",867403,868058,868091,868085
"전주시",297053,297120,297022,296778
"완산구",152893,152889,152888,152809
"덕진구",144160,144231,144134,143969
"군산시",125785,125930,126051,126090
"익산시",132436,132661,132589,132621
"정읍시",54322,54321,54285,54234
"남원시",39909,39907,39872,39822
"김제시",44200,44300,44364,44424
"완주군",50211,50254,50270,50275
"진안군",13762,13770,13781,13803
"무주군",13011,13004,13010,13000
"장수군",11491,11512,11510,11539
"임실군",14813,14819,14802,14792
"순창군",14631,14647,14768,14971
"고창군",28460,28507,28483,28456
"부안군",27319,27306,27284,27280
"전라남도",913971,913933,913613,913307
"목포시",103491,103431,103162,102750
"여수시",127916,127799,127650,127537
"순천시",127549,127593,127725,127820
"나주시",60287,60278,60239,60192
"광양시",73112,73201,73269,73263
"담양군",24015,24000,23992,23959
"곡성군",15571,15591,15591,15642
"구례군",13436,13416,13420,13417
"고흥군",35148,35126,35101,35085
"보성군",21693,21679,21664,21642
"화순군",31686,31684,31608,31606
"장흥군",19684,19683,19678,19679
"강진군",18099,18078,18102,18132
"해남군",34425,34392,34371,34365
"영암군",28396,28407,28364,28352
"무안군",46225,46377,46406,46377
"함평군",17653,17648,17635,17625
"영광군",28466,28497,28489,28501
"장성군",23570,23562,23537,23540
"완도군",25168,25155,25124,25102
"진도군",16378,16383,16351,16352
"신안군",22003,21953,22135,22369
"경상북도",1296094,1296514,1296440,1296432
"포항시",238149,238128,238324,238489
"남구",109163,109082,108979,108792
"북구",128986,129046,129345,129697
"경주시",126237,126376,126465,126487
"김천시",69286,69291,69215,69189
"안동시",81188,81289,81176,81168
"구미시",192610,192882,192995,193095
"영주시",51390,51354,51287,51217
"영천시",54176,54102,54047,54017
"상주시",48940,48923,48866,48833
"문경시",36251,36219,36182,36156
"경산시",132247,132452,132377,132274
"의성군",29123,29088,29051,29033
"청송군",13999,13979,13968,13937
"영양군",8929,8930,9012,9111
"영덕군",19458,19452,19438,19395
"청도군",23446,23462,23477,23486
"고령군",17322,17302,17285,17291
"성주군",23989,23984,23964,23973
"칠곡군",53495,53481,53515,53505
"예천군",28024,28008,27994,27981
"봉화군",16530,16506,16490,16510
"울진군",25752,25774,25809,25809
"울릉군",5553,5532,5503,5476
"경상남도",1545770,1546862,1547631,1547984
"창원시",461948,462129,462302,462161
"의창구",97920,97977,97836,97685
"성산구",108525,108653,109094,109416
"마산합포구",86538,86662,86659,86591
"마산회원구",83339,83268,83187,83038
"진해구",85626,85569,85526,85431
"진주시",162221,162395,162372,162265
"통영시",59325,59338,59285,59253
"사천시",56061,56044,56006,55988
"사천남양출장소",0,0,0,0
"김해시",237589,237955,238276,238448
"장유출장소",0,0,0,0
"밀양시",54041,54040,54060,54099
"거제시",106794,106912,107010,107037
"양산시",164891,165227,165446,165652
"양산시웅상출장소",0,0,0,0
"의령군",14809,14775,14772,14778
"함안군",30001,29965,29953,29923
"창녕군",31663,31693,31683,31706
"고성군",26319,26320,26336,26316
"남해군",22120,22141,22245,22572
"하동군",23311,23308,23295,23267
"산청군",19617,19612,19599,19566
"함양군",20330,20302,20285,20271
"거창군",31245,31255,31265,31250
"합천군",23485,23451,23441,23432
"제주특별자치도",315323,315381,315408,315343
"제주시",226514,226550,226604,226581
"서귀포시",88809,88831,88804,88762
