persona_id,brand,part_role,part_id,brand_tone_cluster,score
persona_6,롱테이크,emotion,Part 2,2,0.20425219794735314
persona_7,스킨유,identity,Part 1,1,0.20417993115261196
persona_3,롱테이크,emotion,Part 2,2,0.20417904861271383
persona_4,미쟝센,cta,Part 3,2,0.2039804795011878
persona_5,바이탈뷰티,identity,Part 1,0,0.20389445796608924
persona_8,롱테이크,emotion,Part 2,2,0.20366714604198935
persona_6,비레디,identity,Part 3,9,0.20363846309483052
persona_7,메디안,identity,Part 1,9,0.20307599250227215
persona_2,메디안,identity,Part 1,9,0.20251632668077946
persona_1,롱테이크,emotion,Part 2,2,0.20250498101115227
persona_4,메디안,identity,Part 1,9,0.20248912442475558
persona_5,미쟝센,cta,Part 3,2,0.20246837317943575
persona_6,스킨유,identity,Part 1,1,0.2023946520406753
persona_4,롱테이크,emotion,Part 2,2,0.20227159110829235
persona_3,메디안,identity,Part 1,9,0.20199792869389055
persona_8,스킨유,identity,Part 1,1,0.20169225223362447
persona_1,젠티스트,proof,Part 2,2,0.2016805144995451
persona_7,에스트라,benefit,Part 2,0,0.20139755638316276
persona_5,스킨유,emotion,Part 2,1,0.20125601895153525
persona_6,에스트라,benefit,Part 2,0,0.20118771264329555
persona_2,스킨유,emotion,Part 2,1,0.20117273636162283
persona_3,스킨유,identity,Part 1,1,0.2011072386521846
persona_8,메디안,identity,Part 1,9,0.20109441243112086
persona_5,메디안,identity,Part 1,9,0.20104851517826317
persona_6,메디안,identity,Part 1,9,0.20100711192935705
persona_1,오설록,emotion,Part 3,2,0.20030760250985624
persona_1,스킨유,identity,Part 1,1,0.19983353512361646
persona_2,롱테이크,emotion,Part 2,2,0.19978452583774925
persona_3,오설록,emotion,Part 3,2,0.19950764559209347
persona_5,롱테이크,emotion,Part 2,2,0.19938638757914307
persona_7,롱테이크,emotion,Part 1,2,0.19922838348895314
persona_8,에스트라,benefit,Part 2,0,0.19919059000909328
persona_5,에스트라,benefit,Part 2,0,0.19900360679253937
persona_4,스킨유,identity,Part 1,1,0.1989344796165824
persona_2,에스트라,benefit,Part 2,0,0.19865918507799507
persona_4,젠티스트,proof,Part 2,2,0.1986027586311102
persona_1,오설록,identity,Part 2,2,0.1983760125003755
persona_1,에스트라,benefit,Part 2,0,0.19817620086483656
persona_3,에스트라,benefit,Part 2,0,0.19803562372922895
persona_8,라네즈,emotion,Part 1,1,0.19775998413562776
persona_7,젠티스트,proof,Part 2,2,0.1976703296452761
persona_7,라네즈,emotion,Part 1,1,0.19765764463692906
persona_2,젠티스트,proof,Part 2,2,0.19765197476744653
persona_2,스킨유,identity,Part 1,1,0.1976146586239338
persona_4,에스트라,benefit,Part 2,0,0.19749802354723217
persona_4,오설록,identity,Part 1,2,0.19742583408951758
