brand,brand_tone_cluster,brand_position
Clinical,2,프리미엄/헤리티지 톤
Dermatological,1,수분 중심 톤
Ingredient-Driven,0,고기능/클리니컬 톤
Empathetic,1,수분 중심 톤
Care-Oriented,0,고기능/클리니컬 톤
Inspirational,1,수분 중심 톤
Prestige,1,수분 중심 톤
Minimal-Luxury,0,고기능/클리니컬 톤
Sensory-Luxury,0,고기능/클리니컬 톤
Friendly,3,트렌디/컬러 중심 톤
Playful,1,수분 중심 톤
Direct,1,수분 중심 톤
