persona_id,rank,product_index,similarity,brand
persona_3,6,1271,0.9126099348068237,퍼즐우드
persona_3,7,441,0.9126099348068237,아모레베이직
persona_3,8,437,0.9126099348068237,아모레베이직
persona_3,9,436,0.9126099348068237,아모레베이직
persona_3,10,1235,0.9126099348068237,퍼즐우드
persona_3,11,430,0.9119316339492798,아모레베이직
persona_3,12,1292,0.9119316339492798,퍼즐우드
persona_3,13,871,0.9114470481872559,에이피뷰티
persona_3,14,879,0.9114470481872559,에이피뷰티
persona_3,15,1270,0.9109389781951904,퍼즐우드
persona_3,16,1256,0.9109389781951904,퍼즐우드
persona_3,17,1294,0.9109389781951904,퍼즐우드
persona_3,18,1287,0.9109389781951904,퍼즐우드
persona_3,19,1286,0.9109389781951904,퍼즐우드
persona_3,20,1285,0.9109389781951904,퍼즐우드
persona_3,21,1283,0.9109389781951904,퍼즐우드
persona_3,22,1282,0.9109389781951904,퍼즐우드
persona_3,23,1293,0.9109389781951904,퍼즐우드
persona_3,24,1251,0.9109389781951904,퍼즐우드
persona_3,25,1279,0.9109389781951904,퍼즐우드
persona_3,26,431,0.9109389781951904,아모레베이직
persona_3,27,1236,0.9109389781951904,퍼즐우드
persona_3,28,438,0.9109389781951904,아모레베이직
persona_3,29,1234,0.9109389781951904,퍼즐우드
persona_3,30,1237,0.9109389781951904,퍼즐우드
persona_3,31,1240,0.9109389781951904,퍼즐우드
persona_3,32,1241,0.9104165434837341,퍼즐우드
persona_3,33,1269,0.9104165434837341,퍼즐우드
persona_3,34,1272,0.9104165434837341,퍼즐우드
persona_3,35,1296,0.9104165434837341,퍼즐우드
persona_3,36,1295,0.9104165434837341,퍼즐우드
persona_3,37,1291,0.9104165434837341,퍼즐우드
persona_3,38,1275,0.9104165434837341,퍼즐우드
persona_3,39,1289,0.9104165434837341,퍼즐우드
persona_3,40,1276,0.9104165434837341,퍼즐우드
persona_3,41,1288,0.9104165434837341,퍼즐우드
persona_3,42,1277,0.9104165434837341,퍼즐우드
persona_3,43,1284,0.9104165434837341,퍼즐우드
persona_3,44,1278,0.9104165434837341,퍼즐우드
persona_3,45,1281,0.9104165434837341,퍼즐우드
persona_3,46,1290,0.9104165434837341,퍼즐우드
persona_3,47,1265,0.9104165434837341,퍼즐우드
persona_3,48,1268,0.9104165434837341,퍼즐우드
persona_3,49,1263,0.9104165434837341,퍼즐우드
persona_3,50,1242,0.9104165434837341,퍼즐우드
persona_4,1,888,0.9126099348068237,에이피뷰티
persona_4,2,1271,0.9126099348068237,퍼즐우드
persona_4,3,433,0.9126099348068237,아모레베이직
persona_4,4,436,0.9126099348068237,아모레베이직
persona_4,5,437,0.9126099348068237,아모레베이직
persona_4,6,1254,0.9126099348068237,퍼즐우드
persona_4,7,1235,0.9126099348068237,퍼즐우드
persona_4,8,551,0.9126099348068237,온호프
persona_4,9,441,0.9126099348068237,아모레베이직
persona_4,10,442,0.9126099348068237,아모레베이직
persona_4,11,1292,0.9119316339492798,퍼즐우드
persona_4,12,430,0.9119316339492798,아모레베이직
persona_4,13,871,0.9114470481872559,에이피뷰티
persona_4,14,879,0.9114470481872559,에이피뷰티
persona_4,15,1236,0.9109389781951904,퍼즐우드
persona_4,16,1270,0.9109389781951904,퍼즐우드
persona_4,17,1293,0.9109389781951904,퍼즐우드
persona_4,18,1294,0.9109389781951904,퍼즐우드
persona_4,19,1287,0.9109389781951904,퍼즐우드
persona_4,20,1286,0.9109389781951904,퍼즐우드
persona_4,21,1240,0.9109389781951904,퍼즐우드
persona_4,22,1285,0.9109389781951904,퍼즐우드
persona_4,23,438,0.9109389781951904,아모레베이직
persona_4,24,1237,0.9109389781951904,퍼즐우드
persona_4,25,1234,0.9109389781951904,퍼즐우드
persona_4,26,1256,0.9109389781951904,퍼즐우드
persona_4,27,1283,0.9109389781951904,퍼즐우드
persona_4,28,431,0.9109389781951904,아모레베이직
persona_4,29,1251,0.9109389781951904,퍼즐우드
persona_4,30,1282,0.9109389781951904,퍼즐우드
persona_4,31,1279,0.9109389781951904,퍼즐우드
persona_4,32,1295,0.9104165434837341,퍼즐우드
persona_4,33,1265,0.9104165434837341,퍼즐우드
persona_4,34,1296,0.9104165434837341,퍼즐우드
persona_4,35,1269,0.9104165434837341,퍼즐우드
persona_4,36,1268,0.9104165434837341,퍼즐우드
persona_4,37,1253,0.9104165434837341,퍼즐우드
persona_4,38,1290,0.9104165434837341,퍼즐우드
persona_4,39,1289,0.9104165434837341,퍼즐우드
persona_4,40,1288,0.9104165434837341,퍼즐우드
persona_4,41,1272,0.9104165434837341,퍼즐우드
persona_4,42,1264,0.9104165434837341,퍼즐우드
persona_4,43,1284,0.9104165434837341,퍼즐우드
persona_4,44,1275,0.9104165434837341,퍼즐우드
persona_4,45,1281,0.9104165434837341,퍼즐우드
persona_4,46,1280,0.9104165434837341,퍼즐우드
persona_4,47,1278,0.9104165434837341,퍼즐우드
persona_4,48,1291,0.9104165434837341,퍼즐우드
persona_4,49,1263,0.9104165434837341,퍼즐우드
persona_4,50,1277,0.9104165434837341,퍼즐우드
persona_5,1,433,0.9126099348068237,아모레베이직
persona_5,2,1254,0.9126099348068237,퍼즐우드
