persona_id,brand,brand_tone_cluster,avg_similarity,product_cnt
persona_5,한율,1.0,0.7935355099764737,55
persona_5,해피바스,1.0,0.7724396460331403,52
persona_5,헤라,2.0,0.7705257079934561,93
persona_5,홀리추얼,1.0,0.7974513400168646,21
persona_6,라네즈,2.0,0.7786660343408585,56
persona_6,라보에이치,1.0,0.793662965297699,28
persona_6,려,0.0,0.7899398912083019,33
persona_6,롱테이크,0.0,0.8051836898452357,19
persona_6,마몽드,2.0,0.7932236917091139,66
persona_6,메디안,1.0,0.7882958184927702,32
persona_6,메이크온,1.0,0.797354605462816,9
persona_6,미쟝센,2.0,0.779936344946845,59
persona_6,비레디,2.0,0.7725214127983365,56
persona_6,설화수,1.0,0.769864260395871,79
persona_6,아이오페,1.0,0.7710236389847362,68
persona_6,에뛰드,2.0,0.772084775921348,143
persona_6,에스쁘아,2.0,0.7912691356362523,74
persona_6,에스트라,1.0,0.77063571634116,54
persona_6,오딧세이,2.0,0.7985479414463044,10
persona_6,오설록,0.0,0.7046578884124756,105
persona_6,이니스프리,2.0,0.7881167157665714,182
persona_6,일리윤,1.0,0.7766454955562949,64
persona_6,프리메라,2.0,0.7767131015405817,59
persona_6,한율,1.0,0.7934825929728422,55
persona_6,해피바스,1.0,0.7728100327345041,52
persona_6,헤라,2.0,0.7707670119500929,93
persona_6,홀리추얼,1.0,0.797280470530192,21
persona_7,라네즈,2.0,0.7787054308823177,56
persona_7,라보에이치,1.0,0.7938205046313149,28
persona_7,려,0.0,0.7897560903520295,33
persona_7,롱테이크,0.0,0.8052763593824286,19
persona_7,마몽드,2.0,0.7930896065451882,66
persona_7,메디안,1.0,0.7884819656610489,32
persona_7,메이크온,1.0,0.7972624235683017,9
persona_7,미쟝센,2.0,0.7798629100039854,59
persona_7,비레디,2.0,0.7724253130810601,56
persona_7,설화수,1.0,0.7695846210552167,79
persona_7,아이오페,1.0,0.7709523272864959,68
persona_7,에뛰드,2.0,0.772186211772732,143
persona_7,에스쁘아,2.0,0.7915499605037071,74
persona_7,에스트라,1.0,0.7705206319137856,54
persona_7,오딧세이,2.0,0.7985249280929565,10
persona_7,오설록,0.0,0.704826979977744,105
persona_7,이니스프리,2.0,0.7884709039232233,182
persona_7,일리윤,1.0,0.7767698178067803,64
persona_7,프리메라,2.0,0.7765065047700527,59
persona_7,한율,1.0,0.7935098745606163,55
persona_7,해피바스,1.0,0.7727725070256454,52
persona_7,헤라,2.0,0.7707498464533078,93
persona_7,홀리추얼,1.0,0.7973642122177851,21
persona_8,라네즈,2.0,0.7786889544555119,56
persona_8,라보에이치,1.0,0.793914937547275,28
persona_8,려,0.0,0.7897572390960924,33
persona_8,롱테이크,0.0,0.8053770033936751,19
persona_8,마몽드,2.0,0.7930933092579697,66
persona_8,메디안,1.0,0.7885385323315859,32
persona_8,메이크온,1.0,0.7972001234690348,9
persona_8,미쟝센,2.0,0.7798145908420369,59
persona_8,비레디,2.0,0.7723687376294818,56
persona_8,설화수,1.0,0.7695572927028318,79
persona_8,아이오페,1.0,0.7709203134564793,68
persona_8,에뛰드,2.0,0.7722692793899483,143
persona_8,에스쁘아,2.0,0.7916186041123158,74
persona_8,에스트라,1.0,0.7704998795632962,54
persona_8,오딧세이,2.0,0.7985115349292755,10
persona_8,오설록,0.0,0.7049516235079084,105
persona_8,이니스프리,2.0,0.7885845329735305,182
persona_8,일리윤,1.0,0.7767807738855481,64
persona_8,프리메라,2.0,0.77640687308069,59
persona_8,한율,1.0,0.7935178995132446,55
persona_8,해피바스,1.0,0.7727444447003878,52
persona_8,헤라,2.0,0.7707017717822906,93
persona_8,홀리추얼,1.0,0.7973814493133908,21
