"상품명","가격","할인율","평점"
"10%135,000원모이스춰 플럼핑 넥타 크림 50ml4.8(337)좋아요","135,000원","10%","4.8"
"10%108,000원타임 레스폰스 스킨 리뉴얼 미스트 200ml4.9(104)좋아요","108,000원","10%","4.9"
"Sold out10%37,800원트리트먼트 엔자임 클렌징 폼 120g4.8(1,603)좋아요","37,800원","10%","4.8"
"Sold out10%72,000원보태니컬 하이드레이팅 플루이드 160ml4.8(213)좋아요","72,000원","10%","4.8"
"10%180,000원타임 레스폰스 스킨 리저브 토너 200ml4.8(101)좋아요","180,000원","10%","4.8"
"10%198,000원타임 레스폰스 스킨 리저브 플루이드 160ml4.8(151)좋아요","198,000원","10%","4.8"
"10%81,000원보태니컬 수딩 토너 200ml4.9(192)좋아요","81,000원","10%","4.9"
